Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
Speedcast,9/25/2020,7/7/2020,3,2120
Spingfield Public Schools,12/3/2020,10/1/2020,1,1000
"Spinrite, Inc",4/6/2020,11/29/2019,8,1917
Spire Hospitality LLC,9/29/2020,4/1/2020,5,3244
Sprint Corporation,3/31/2020,8/13/2019,3,121
Sprint Corporation,4/9/2020,8/17/2015,12,388
St Andrew's School ‐ Rhode Island,11/12/2020,2/6/2020,2,1094
St Paul Center for Biblical Theology,9/24/2020,3/3/2020,163,7823
St. Ambrose University,7/6/2020,1/18/2016,5,312
St. Bonaventure University,9/14/2020,5/20/2020,6,1998
St. Lawrence University,11/25/2020,2/7/2020,1,464
St. Lucie County Board of Commissioners,6/5/2020,10/2/2019,1,797
St. Michael's College,6/4/2020,11/3/2019,1,2376
StarCorp LLC,1/27/2020,12/13/2019,13,582
Stark Summit Ambulance,9/4/2020,3/24/2020,3,3794
Steel Partners Holdings LP,6/29/2020,4/18/2020,868,26356
Steele County,3/19/2020,9/17/2019,11,6659
"Stericycle, Inc",8/26/2020,10/1/2019,1582,80890
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
Stetson University,10/2/2020,2/7/2020,433,79247
"Stockpile,Inc",8/3/2020,4/17/2020,259,14500
StoneMor Partners L P,12/26/2019,5/20/2019,12,44
Stracci Law Group PC,5/12/2020,4/30/2020,226,272
STRATA Trust Company,6/19/2020,2/10/2020,154,12238
"Stylex Seating, Inc",9/21/2020,8/1/2020,23,2062
Summit Medical Associates,8/7/2020,1/24/2020,7018,7264
Support Solutions Group,11/4/2020,3/26/2020,2,506
"Surface Technologies, Inc",11/25/2020,10/11/2020,1,154
"Svihla & Associates CPAs, LLC",6/30/2020,3/19/2020,253,494
"Sykes Enterprises, Incorporated",7/1/2020,4/5/2020,5,1075
Symbotic LLC,5/26/2020,4/26/2020,1,61
Symphony Financial Planning,6/19/2020,3/9/2020,3,216
"Synergi Partners, Inc",7/29/2020,1/9/2020,1,1008
"Tablerock Holdings, LLC",9/11/2020,1/14/2020,5,951
"Tablet, Inc",5/11/2020,4/24/2020,2,15
"Tablet, Inc",2/14/2020,10/24/2019,4,577
"Tailored Brands, Inc",10/26/2020,10/10/2019,185,14536
Tait Towers Manufacturing LLC,6/11/2020,2/16/2020,1,44109
"Talon Logistics Services, LLC & Talon Logistics, LLC",2/28/2020,2/1/2020,47,87
"TaxAct, Inc",4/1/2020,3/10/2020,4,130
"Taylor & Morgan, CPA, PC",7/17/2020,4/26/2020,6,1837
"TCW, Inc",9/2/2020,8/7/2020,1,2971
"TD Bank, N.A",3/2/2020,11/20/2019,2,207
"Technique Golf, LLC d/b/a Super Stroke USA",6/4/2020,10/10/2019,45,2022
Telamon Corporation,2/17/2020,10/8/2019,23,853
Tellepsen,4/15/2020,2/19/2020,4,5018
"Tennessee Baptist Children's Homes, Inc",9/21/2020,,2,673
Tennessee Orthopaedic Alliance,2/14/2020,8/16/2019,83,81237
Terlato Wine Group,2/12/2020,8/22/2019,2,485
Terminix Global Holdings,10/9/2020,9/10/2020,237,14708
Texell Credit Union,9/3/2020,5/14/2020,26,62385
The 5th Avenue Theatre Association,9/28/2020,8/30/2020,5,2969
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
"The Baton Rouge Clinic, A Medical Corporation",8/31/2020,6/3/2020,64,308169
The Benjamin School,11/13/2020,4/18/2020,3,3139
The Bowery Mission,11/17/2020,,1,161
The Browning School,11/6/2020,5/14/2020,1,900
The Chicago Bar Association,7/13/2020,5/22/2020,1,375
The City of Dothan,1/10/2020,8/26/2019,10,12774
"The City of Los Banos, California",1/30/2020,9/23/2019,1,8716
The City of Port Orange,1/10/2020,8/27/2019,4,5615
"The City of Sunrise, Florida",8/31/2020,4/10/2020,1,21924
The Cleveland Institute of Art,1/10/2020,5/31/2019,1,140
The Credit Pros Intl.,7/30/2020,7/9/2016,179,10753
The Deck Store,8/27/2020,3/16/2020,81,4459
The Episcopal Church of the Redeemer,11/6/2020,9/17/2020,1,93
The GEO Group Inc,11/3/2020,7/17/2020,567,20017
The Hatcher Agency,12/1/2020,3/6/2020,23,20236
The Health and Hospital Corporation of Marion County d/b/a Eskenazi Health,2/28/2020,2/17/2020,12,12
The Hewitt School,11/11/2020,2/7/2020,1,2201
"The Hotel Group Holdings, LLC",10/15/2020,3/12/2020,116,260
The Independent Order of Foresters,2/21/2020,1/31/2020,1,34
The Islands Institute,9/28/2020,5/16/2020,39,654
The Jane Goodall Institute,7/31/2020,5/1/2020,1035,110642
The Japan America Society of Greater Philadelphia,9/4/2020,,10,8658
The Joffrey Ballet,10/1/2020,2/7/2020,1,31
"The Joshua Academy, Inc., d/b/a Joshua Academy",1/10/2020,,191,216
The King's College,4/10/2020,4/1/2020,1,387
The Latin School of Chicago,8/18/2020,5/1/2020,39,4474
The Lebemuth Company Inc,7/14/2020,4/20/2020,477,617
The Lexington School,9/28/2020,5/14/2020,2,504
"The Long and Foster Companies, Inc",9/15/2020,8/22/2020,48,85212
The National Association of Manufacturers,1/16/2020,12/7/2018,1,70
The New York City Bar Association,6/30/2020,4/23/2020,1,583
The Ounce of Prevention Fund,8/4/2020,8/29/2019,22,23420
The Pointe At Kilpatrick,5/13/2020,1/21/2020,14,609
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
The Pointe At Morris,5/13/2020,1/21/2020,1,269
The Pointe At Pontiac,5/13/2020,1/21/2020,24,704
The Presidio Group,8/5/2020,5/18/2020,1,55
The Prudential Insurance Company of America,2/18/2020,1/2/2020,2,2
"The Results Companies, LLC",3/11/2020,5/28/2019,35,25376
"The Roasterie, Inc",2/20/2020,6/1/2019,49,4283
The Society of Chartered Property Casualty Underwriters,10/7/2020,4/16/2020,7,357
The Stow Company,1/29/2020,8/25/2019,15,1267
The University of South Carolina Upstate Foundations,9/11/2020,2/7/2020,9,6533
"The UPS Store, Inc",1/21/2020,9/29/2019,300,17094
The Venice Golf and Country Club,5/22/2020,1/10/2020,3,741
"The Wahl Law Firm, PLLC",4/2/2020,11/6/2019,1,532
Therapia Staffing,5/27/2020,1/23/2020,2,406
"Thirty Madison, Inc. DBA Keeps and Keeps.com",10/9/2020,7/8/2020,1,1047
"thyssenkrupp System Engineering, Inc",11/25/2020,8/11/2020,8,1889
TigerChef,4/10/2020,7/17/2019,14,1154
Tilton School,10/15/2020,2/7/2020,1,213
Titan America LLC,3/19/2020,5/3/2019,1,512
T‐Mobile,10/9/2020,8/31/2020,2,
T‐Mobile USA Inc,3/10/2020,11/26/2019,7,1027
T‐O Engineers,8/21/2020,4/18/2020,3,828
Tompkins International,7/31/2020,4/30/2020,1,7
"Total Quality Logistics, LLC",3/25/2020,10/1/2019,111,8100
"Town of Concord, Massachusetts",9/15/2020,10/17/2019,1,2814
"TQ Constructors, Inc",2/14/2020,1/24/2020,7,115
Transamerica LLC and its Affiliates,7/22/2020,6/26/2020,1,1
Transamerica LLC and its Affiliates,8/4/2020,7/31/2020,1,1
"Travel Tripper, LLC",1/24/2020,10/15/2019,6,1574
"Trilogy Health Services, LLC",8/27/2020,7/15/2020,80,80
Trinity Benefit Advisors,4/24/2020,5/6/2019,40,1513
Trinity Health,9/14/2020,4/18/2020,67,6288
Trinity Partners Management LLC,12/3/2020,5/19/2020,1,479
TRP Sumner PLLC,3/16/2020,10/2/2019,5,3423
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
TrueFire LLC,2/13/2020,8/3/2019,75,8190
"TSL Company Holdings, LTD",10/8/2020,7/3/2020,1,340
"Tupperware U.S., Inc",4/21/2020,3/19/2020,98,4763
"U.S. Restaurants, Inc",7/21/2020,2/7/2020,47,32104
"U.S. Xpress Enterprises, Inc",4/10/2020,9/1/2019,512,17262
UChicago Medicine Ingalls Memorial,4/15/2020,2/18/2020,756,6091
"uDecor, Inc dba Proceilingtiles.com",5/7/2020,4/17/2020,30,1663
"UGN, Inc",10/8/2020,8/25/2020,933,4609
"Ultra Clean Holdings, Inc",11/9/2020,8/3/2020,3,6060
Ultrafabrics Inc,8/26/2020,3/24/2020,2,189
Uncle Bill's Pet Center,7/21/2020,3/10/2020,998,1021
UniFirst Corporation,10/20/2020,7/8/2020,1,53
UniFirst Corporation,10/13/2020,9/28/2020,3,170
Unilever,7/14/2020,3/25/2020,2,269
"Union Hospital, Inc",8/17/2020,8/10/2020,10,10
United Cerebral Palsy Heartland,4/24/2020,2/21/2020,2,614
UnitedHealthcare,10/28/2020,7/8/2020,1,1
UnitedHealthcare,9/10/2020,6/15/2020,1,1
"University Accounting Service, LLC",7/17/2020,5/27/2020,1,12
University of Detroit Mercy,8/14/2020,2/7/2020,230,34675
University of Minnesota Physicians,3/30/2020,1/30/2020,3,683
University of South Carolina‐Business Partnership Foundation,8/18/2020,2/7/2020,1,282
University of South Dakota Foundation,12/4/2020,5/16/2020,6,1454
"Urban Compass, Inc",7/1/2020,5/24/2019,34,14183
"US International Media, LLC",6/29/2020,4/26/2020,1,700
"U'Sellis & Company, CPA",2/13/2020,11/25/2019,1,54
"USG Insurance Services, Inc",11/25/2020,10/27/2020,8,1530
USNR LLC,12/7/2020,9/28/2020,2,3950
"Utah Pathology Services, Inc",8/29/2020,6/24/2020,7,112124
"UWM Foundation, Inc",8/20/2020,5/14/2020,6,1959
Valencia College,6/15/2020,11/27/2019,2,3817
Valley Exposition Service,1/9/2020,6/25/2019,33,1524
"Valmark Financial Group, LLC",8/21/2020,3/31/2020,1,74
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
Value Added Packaging Inc,8/10/2020,7/30/2020,1,64
Vanguard,9/9/2020,8/14/2020,1,1
"VanOrden, Lund & Cannon, PLLC",6/1/2020,,8,3082
"Verigent, LLC",7/17/2020,10/21/2019,35,4360
Vermont Student Assistance Corporation,9/4/2020,2/7/2020,47,19754
"Victoria's Secret Stores Brand Management, LLC",12/9/2020,11/9/20202,17,
Viking Partners LLC,1/16/2020,8/14/2019,1,272
Virginia Episcopal School,11/30/2020,2/7/2020,1,315
Virginia Union University,9/10/2020,2/7/2020,1,795
"Viscogliosi Bros.,LLC",4/14/2020,8/26/2019,1,329
"Viskase Companies, Inc",4/27/2020,3/31/2020,26,305
VMS Fund Administration LLC,3/20/2020,1/21/2020,1,467
Volk Optical Inc,5/26/2020,2/11/2020,4,358
Volusion LLC,4/20/2020,9/7/2019,7914,541000
VOXX International Corporation,9/28/2020,6/4/2020,666,6033
"VT San Antonio Aerospace, Inc",8/25/2020,1/1/2020,11,4392
"Vuteq USA, Inc",9/22/2020,8/7/2020,1822,2168
Wabash Friends Counseling Center,6/5/2020,4/9/2020,1,1
"Wagstaff & Cartmell, LLP",7/24/2020,2/14/2020,168,7837
Warner Music Group,9/3/2020,4/25/2020,2246,130000
Warren G Bender Company dba Bender Insurance Solutions,5/5/2020,8/6/2019,1,100
"Waxman Industries, Inc",4/16/2020,11/23/2019,1,302
"Wealth Enhancement Group, LLC",7/23/2020,3/22/2020,3,2893
WebBank,1/10/2020,11/4/2019,1,106
"Weber and Company, Inc",4/3/2020,1/27/2020,3,1267
Webster Bank N A,1/3/2020,12/18/2019,1,1
WEG Electric Corp,9/2/2020,6/5/2020,1,7
"Wells Fargo Bank, N.A",3/18/2020,2/1/2020,2,3595
"WESCO Distribution, Inc",2/20/2020,8/15/2018,17,463
West Michigan Realtor's Title DBA Title Resource Agency,10/5/2020,10/30/2019,49,1278
Westcor Land Title Insurance Company,8/25/2020,1/10/2020,790,76067
WESTECH International Inc,6/19/2020,5/10/2020,5,3997
Wheeler Mission,11/19/2020,2/7/2020,137,164
Matter: Name,Notification Sent,Breach Occurred,IN Affected,Total Affected
Wichita Collegiate School,12/21/2020,2/7/2020,2,2140
Wichita State University,3/6/2020,12/3/2019,1203,440968
Williams Hart Boundas Easterby LLP,8/28/2020,5/12/2020,304,35000
WillScot Mobile Mini Holdings Corp,11/19/2020,11/10/2020,57,3639
Wilmington Friends School,11/30/2020,5/20/2020,1,2697
"Winamac Coil Spring, Inc",4/7/2020,1/21/2020,43,45
"Windsor Advantage, LLC",11/12/2020,8/5/2020,1,1300
"Windstream Holdings II, LLC",11/18/2020,7/11/2020,42,7304
Windward Software Systems Inc,10/8/2020,9/1/2020,1,32
"Wirepath Home Systems, LLC dba Control4 and/or dba SnapAV",4/6/2020,10/13/2019,5,408
Wisconsin Evangelical Lutheran Synod,10/29/2020,5/1/2020,45,7538
Wisconsin Historical Society,1/21/2020,6/8/2019,19,2206
"Wolff Principal Holdings, LP",4/10/2020,8/15/2019,2,1245
"Wolverine Mutual Insurance Company, Inc",,11/16/2020,16,
Woodlawn Dental Center,5/18/2020,3/19/2020,9,14419
"Woods and Woods, LLC",3/11/2020,1/15/2020,12443,51600
World Vision,8/28/2020,2/7/2020,2,485
"Wurkforce, Inc",8/3/2020,11/22/2019,8,4761
"Wyndham Capital Mortgage, Inc",10/2/2020,8/25/2020,1,37
"Wyndham Capital Mortgage, Inc",8/25/2020,6/30/2020,5,535
"Wyndham Capital Mortgage, Inc",10/16/2020,9/18/2020,300,18823
YogaFit,7/22/2020,4/11/2020,12,735
"Yount, Hyde & Barbour, P.C",5/27/2020,10/15/2019,2,2294
Youth Entrepreneurs,8/4/2020,2/7/2020,2,932
"Zachry Industrial, Inc",9/4/2020,7/16/2020,10,1463
Zen Path Media LLC,10/29/2020,4/24/2020,27,1655
"Zerbee, LLC",3/20/2020,10/22/2019,49,2676
Zeta Tau Alpha Fraternity,7/16/2020,4/27/2020,1,34
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Conduent,,12/9/2021,1,1
Campari America,11/12/2020,11/1/2020,8,1193
Benjamin Rose Institute on Aging,12/11/2020,2/18/2020,1,2934
"Family Care Network, Inc",12/11/2020,2/7/2020,1,498
Masonite Corporation,12/11/2020,9/10/2020,5,1302
Cary Academy,12/11/2020,2/7/2020,4,2340
ExamOne,11/12/2020,10/6/2020,2,2
"Sam's West, Inc. dba Sam's Club",12/10/2020,11/10/2020,8,418
"HMC Healthworks, Inc",12/9/2020,9/15/2020,15,983
Toledo Public Schools,12/15/2020,9/4/2020,52,66280
"Midwest Geriatric Management, LLC",12/14/2020,10/13/2020,5,4814
Bible Study Fellowship,12/14/2020,2/7/2020,3,124
"Grass Valley USA, LLC",12/14/2020,,10,558
Belden Inc,12/14/2020,11/12/2020,2227,5364
Apex Systems,12/9/2020,11/8/2020,29,3626
Central Florida Cardiology Group,12/11/2020,2/1/2020,1,2817
"The Convent of the Sacred Heart School of
New York",12/11/2020,2/7/2020,1,1953
Saint Francis Ministries,12/15/2020,5/1/2020,3,999
Claremont Lincoln University,12/15/2020,6/1/2020,3,833
"Rem Optical Company, Inc dba De Rigo
Rem",12/15/2020,6/17/2020,4,304
"DOROT, Inc",12/16/2020,2/7/2020,1,375
"First Data Merchant Services, LLC",12/10/2020,,1,216
Discover Financial Services,12/17/2020,9/29/2020,16,690
Chicago Title,12/16/2020,11/18/2020,2,2
"DSMB Partners, LLC dba ActivatedYou",12/17/2020,8/6/2020,7,703
"Beverly Hills MD, LLC dba Beverly Hills MD",12/17/2020,8/6/2020,14,1004
"City Beauty, LLC dba City Beauty",12/17/2020,8/6/2020,72,4375
"California Skin Products, LLC dba
DermalMedix",12/17/2020,8/6/2020,3,190
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"California Pet Partners, LLC dba Dr Marty",12/17/2020,8/6/2020,22,1691
"Agoura Health Products, LLC dba Gundry
MD",12/17/2020,8/6/2020,58,3868
"Living Cell Research, LLC dba LCR Health",12/17/2020,8/9/2020,8,539
"Pacific Health Supplements, LLC dba Nucific",12/17/2020,8/6/2020,7,966
"THGH Partners, LLC dba Power Life",12/17/2020,8/6/2020,5,326
"Cali Pet Nutrients LLC dba Ultimate Pet
Nutrition",12/17/2020,8/6/2020,11,570
"HD Wellness, LLC dba Unify Health Labs",12/17/2020,8/6/2020,1,160
II‐VI Incorporated,12/9/2020,11/19/2020,4,
Mass General Brigham Incorporated,12/18/2020,11/23/2020,26,32123
"A2Z Field Services, LLC",12/18/2020,8/14/2020,47,2027
Capital Lumber Company,12/18/2020,7/27/2020,3,2723
"Sam's West, Inc. dba Sam's Club",12/18/2020,11/19/2020,4,137
Paysafe Group Holdings Limited,12/18/2020,5/13/2018,1045,91706
Community Bank of Cameron,12/18/2020,10/22/2020,19,13692
GeoStabilization International,12/16/2020,4/17/2020,2,292
"Devine Millimet & Branch, PA",12/18/2020,8/13/2020,8,19379
Oakwood Bank,12/18/2020,10/22/2020,12,7300
InFirst Bank,12/18/2020,10/22/2020,82,36404
"Envestnet Financial Technologies, Inc",12/9/2020,6/24/2020,9,1249
First Security State Bank,12/18/2020,10/22/2020,10,12338
Holy Ghost Preparatory School,12/18/2020,5/1/2020,1,1401
"ColorTech, Inc",12/21/2020,10/6/2020,1,451
"The New York City Convention Center
Operating Corporation dba Javits Center",12/22/2020,4/26/2020,2,15000
"Choices Coordinated Care Solutions, Inc",12/18/2020,9/24/2020,1,3
"Strauss Troy Co., LPA",1/14/2021,9/10/2020,6,502
"IMI Precision Engineering dba Bimba
Manufacturing",12/23/2020,8/21/2020,23,844
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"Agency for Community Treatment Services,
Inc",12/22/2020,10/21/2020,17,73825
thyssenkrupp rothe erde USA Inc,12/22/2020,11/4/2020,17,1179
Washington State Bar Association,12/21/2020,11/12/2020,1,5011
"Metabolic Maintenance Products, Inc",12/22/2020,10/1/2019,393,17927
"DJO Global, Inc",12/23/2020,11/8/2020,16,2033
"Tree Top, Inc",12/23/2020,11/10/2020,24,18000
"Lime Media Group, Inc",12/23/2020,5/7/2020,20,983
Thornwell,12/23/2020,5/14/2020,4,926
Sentinel Technologies Inc,12/23/2020,10/8/2020,12,707
"Winston‐Salem Industries for the Blind, Inc
dba IFB Solutions",12/22/2020,5/20/2020,1,462
The Nightingale‐Bamford School,12/23/2020,5/14/2020,4,1734
"Troy A Washko, CPA, P.C",12/24/2020,6/24/2020,47,2284
Georgetown Day School,12/24/2020,5/14/2020,1,2130
"TechFlow, Inc",12/28/2020,7/15/2020,21,1374
"Central Illinois Carpenters Retirement
Savings Fund",12/28/2020,10/26/2020,285,7114
American Exchange Bank,12/28/2020,10/22/2020,6,10259
Richardson Sales Performance,12/24/2020,9/22/2020,1,243
Carson Bank,12/28/2020,10/10/2020,12,10934
The College of St. Scholastica,12/29/2020,2/7/2020,1,1215
Universal Logistics Holdings,12/24/2020,4/1/2020,1410,27305
Chicago Title,12/23/2020,12/23/2020,2,2
"American Payroll Institute, Inc",12/22/2020,11/22/2020,1,41
Dassault Falcon Jet Corp,12/31/2020,6/19/2020,42,
"The University of Phoenix, Inc",12/30/2020,9/14/2020,2,27
Liberty Christian School,12/29/2020,2/7/2020,1,4095
Sugar Bowl Corporation,12/18/2020,10/9/2020,7,6960
Darlington School,12/30/2020,5/14/2020,5,1851
"Orchestrate Healthcare Consulting, LLC",12/30/2020,7/3/2020,3,269
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"International Union of Bricklayers and
Allied Craftworkers",12/30/2020,6/4/2020,3408,99178
South Country Health Alliance,12/30/2020,6/24/2020,22,66874
"Emery Sapp & Sons, Inc",12/22/2020,11/4/2020,4,4762
"Global Growth Holdings, Inc",1/1/2021,12/1/2020,13,1895
University School of Nashville,12/31/2020,5/1/2020,3,1916
"Thomas D Mangelsen, Inc",12/31/2020,10/29/2020,2,210
"Ontario Systems, LLC",12/31/2020,6/19/2020,800,1247
Treasure Valley Community College,12/29/2020,6/1/2019,5,8909
Canterbury School,12/31/2020,5/14/2020,3,2922
"Simpson Senior Services, Inc",12/31/2020,11/24/2020,2,2474
"Life Quotes, Inc",12/31/2020,10/19/2020,392,23951
"Anchor General Insurance Agency, Inc",12/31/2020,8/3/2020,4,38069
"Peter Pan Seafoods, Inc",1/11/2021,12/12/2020,22,8846
LineMaster Switch Corp & Footworks LLC,1/4/2021,4/29/2020,1,179
"Notre Dame Preparatory School and Marist
Academy",1/2/2021,2/7/2020,7,2236
Kingswood Oxford School,1/2/2021,2/7/2020,1,2929
"Florida Gulf Coast University Foundation,
Inc",1/4/2021,5/4/2020,34,5498
"Frazier & Deeter, LLC",1/5/2021,7/13/2020,4,690
Miller‐Schuring Agency,1/5/2021,6/5/2020,1,443
Citizens Bank of Americus,12/28/2020,10/22/2020,42,32431
"Paddock Publications, Inc",1/5/2021,6/27/2020,51,19041
Porter Gaud School,12/29/2020,2/20/2020,2,2009
AHIMA,1/5/2021,6/26/2020,220,10775
"General Datatech, LP",1/6/2021,11/11/2020,11,2558
EmPower HR,1/7/2021,9/29/2020,97,4214
Kindred Hospital ‐ Indianapolis,12/23/2020,12/8/2020,1,1
Matson Navigation Company,10/30/2020,10/14/2020,56,25000
"Fast Radius, Inc",1/8/2021,5/1/2020,2,120
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
County of Mercer,1/8/2021,7/17/2019,1,2379
"ICON Capital, LLC",1/8/2021,10/23/2020,2,170
US Fertility LLC,1/8/2021,8/12/2020,4100,878550
American United Life Insurance Company,12/31/2020,12/7/2020,1,1
Shattuck‐St. Mary's School,1/8/2021,5/13/2020,4,721
"American Anesthesiology, Inc",1/8/2021,6/17/2020,17027,1159841
Hardin‐Simmons University,1/8/2021,2/7/2020,3,1286
St Norbert College,1/8/2021,9/7/2020,22,7493
New Hampton School,1/11/2021,2/7/2020,7,2080
"Arrow Truck Sales, Inc",1/8/2021,11/16/2020,130,18087
"Subaru of Indiana Automotive, Inc",12/10/2020,12/4/2020,1,1
"Catholic Charities Diocese of Joliet, Inc",1/6/2021,2/7/2020,2,596
Portell Financial Services,11/10/2020,6/16/2020,1,93
"American Federation of Musicians and
Employers' Pension Fund",1/11/2021,5/22/2020,17,3438
Wayne State Foundation,1/13/2021,2/7/2020,61,22231
Frame It Easy,1/8/2021,10/29/2020,30,3188
Assurance IQ LLC,1/5/2021,10/26/2020,1,1
"GreeneHurlocker, PLC",1/12/2021,8/24/2020,1,159
"Unipro Foodservice, Inc",1/12/2021,10/12/2020,5,139
"National Board for Certified Counselors, Inc",1/12/2021,8/31/2020,7650,379398
"KGP Telecommunications, LLC",1/7/2021,12/23/2020,1,1
The Archer School for Girls,1/13/2021,2/7/2020,5,6385
Waters & Kraus LLP,1/13/2021,12/5/2019,169,14450
"Shift Technologies, Inc",1/14/2021,9/17/2020,2,2623
National Western Life Insurance Company,1/25/2021,8/7/2020,14051,720875
Ronald McDonald House of Dallas,1/14/2021,2/7/2020,17,17373
Spinnaker Management Group LLC,1/14/2021,10/6/2020,1,423
Wesleyan Christian Academy,1/14/2021,2/7/2020,10,7763
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
TEKBRANDS LLC,1/14/2021,10/26/2020,59,2305
Beech Acres Parenting Center,1/15/2021,2/7/2020,7,818
"Moss, Inc",1/13/2021,9/20/2020,3,526
President and Fellows of Harvard College,1/11/2021,12/21/2020,1,689
Jackson National Life Co,1/15/2021,1/2/2021,1,1
"Lawrence County Community Action
Partnership",1/15/2021,2/7/2020,1,919
South Georgia Bank,12/18/2020,10/22/2020,10,13839
Franciscan Health Hammond,1/14/2021,11/29/2020,1,5
thyssenkrupp Materials,1/19/2021,12/28/2020,527,10462
Christ School,1/15/2021,2/7/2020,4,2068
SecurityNational Mortgage Company,1/14/2021,11/20/2020,2,615
"Conduent, Inc",11/25/2020,5/7/2020,9,22
New York Legal Assistance Group,1/19/2021,8/15/2020,4,21347
Jacksonville University,1/19/2021,2/7/2020,5,1012
"TPG Advisors, LLC dba The Planning Group",1/19/2021,10/13/2020,28,159
"Village of New Lexington, Ohio",1/15/2021,7/26/2020,1,1508
"ALE Solutions, Inc",1/11/2021,4/1/2020,689,28897
Verita Telecommunications Corporation,1/8/2021,12/24/2020,51,480
The Romanoff Group of Companies,1/19/2021,12/5/2020,1,562
UFCW Local 1776,1/5/2021,7/14/2020,1,3999
"LaSalle Company, Inc",1/20/2021,10/6/2020,146,192
The Corsi Group,1/20/2021,11/6/2020,2,112
BSH Home Appliances Corporation,1/20/2021,11/20/2020,6,212
SN Servicing Corporation,1/15/2021,10/14/2020,787,20155
"Herbalife International of America, Inc",1/20/2021,11/18/2020,1,73
"Asheville School, Inc",1/7/2021,5/20/2020,5,1264
St. Paul's School,1/21/2021,2/7/2020,9,4480
TrustLawyer LLC,1/22/2021,10/1/2020,1,561
Krapf Group,1/15/2021,11/17/2020,7,15795
Clarus Corporation,12/29/2020,9/23/2020,2,1825
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
American Frame Corporation,1/14/2021,8/1/2020,412,30502
"Bosley, Inc",1/26/2021,8/17/2020,1003,100855
"University of Illinois Hospital & Health
Sciences System",4/3/2020,3/18/2020,3,3
"University of Illinois Hospital & Health
Sciences System",6/18/2020,6/12/2020,1,1
"University of Illinois Hospital & Health
Sciences System",10/12/2020,9/4/2020,1,1
SapphireFoxxBeyond.com,1/26/2021,6/1/2020,5,2485
Shorecrest Preparatory School,1/26/2021,5/20/2020,3,2050
"Cabins USA, LLC",1/22/2021,11/14/2020,34,842
"Siskind Susser, PC",1/25/2021,5/1/2020,10,1905
Landon School Corporation,1/22/2021,5/1/2020,3,4612
Salem Co‐operative Bank,1/15/2021,6/11/2019,1,1
"Auris Health, Inc",1/27/2021,3/15/2020,3,3
Diversified Gas & Oil Corporation,1/27/2021,11/17/2020,453,45529
Absher Construction Company,1/27/2021,8/29/2020,4,1935
Precision Spine Care,1/12/2021,9/10/2020,5,20787
Rochelle Margucci EA,1/25/2021,8/6/2020,1,780
Emerson Equity LLC,1/28/2021,1/10/2021,0,488
"Country Trust Bank, et al.",1/21/2021,2/4/2020,8,1247
St. Andrew's‐Sewanee School,1/28/2021,2/7/2020,3,2928
Town of Yorktown,1/26/2021,5/1/2014,96,103
Communications Workers of America,1/25/2021,,111,14843
Michigan Milk Producers Association,1/28/2021,11/24/2020,182,1196
"Wind River Systems, Inc",12/9/2020,9/16/2020,64,8585
Baltimore Life Insurance Company,1/29/2021,9/16/2020,2,462
Avantax Wealth Management,1/29/2021,12/24/2020,5,201
"Krupnik & Speas, PLLC",1/29/2021,10/14/2020,1,209
"Indianapolis Neighborhood Housing
Partnership, Inc",1/26/2021,1/21/2021,1,1
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Colgate Rochester Crozer Divinity School,1/29/2021,4/18/2020,4,1152
San Francisco Conservatory of Music,1/29/2021,5/20/2020,8,1837
"Threaded Fasteners, Inc",1/15/2021,12/1/2020,1,400
Carmel Clay Parks & Recreation,1/29/2021,7/10/2020,197,220
Rockingham Mutual Group,1/27/2021,10/2/2020,1,150
"Brotherhood's Relief and Compensation
Fund",2/5/2021,1/3/2021,4012,95000
Gonzaga University,2/1/2021,8/6/2020,3,9567
Evangelical Presbyterian Church,2/1/2021,5/20/2020,1,200
Texas Regional Bank,1/21/2021,10/10/2020,2,8072
Ardent Credit Union,1/28/2021,6/5/2020,71,36859
"Glatt, Maney, Kling & Rufer, CPAs P.C.",2/2/2021,8/24/2020,12,5133
"Warehouse Services, Inc",2/2/2021,11/26/2020,1658,8480
"Carparts.com fka U.S. Auto Parts Network,
Inc",2/1/2021,6/21/2020,64,6480
McDermott Center dba Haymarket Center,2/1/2021,10/13/2020,10,431
Giles Automotive Inc,1/29/2021,12/1/2020,8,12967
Edsal Manufacturing Company LLC,2/3/2021,10/4/2020,160,1072
New Canaan Country School,2/2/2021,2/7/2020,1,543
The Oakwood School,2/3/2021,2/7/2020,2,2330
"Qapital, Inc",2/4/2021,1/10/2021,2,70
