BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Frosch International Travel,2/10/2017,2/10/2017,02/13/2017,1
Wisenbaker Builder Services,2/10/2017,2/10/2017,02/27/2017,1
Trojan Battery Sales,2/10/2017,4/30/2017,6/01/2017,1
The Retirement Advantage Inc,2/10/2017,2/12/2018,03/29/2018,5
Arabella Advisors,2/09/2017,2/09/2017,02/22/2017,3
Citizens Memorial Hospital,2/08/2017,2/08/2017,02/20/2017,1
Rod's Western Palace,2/08/2017,2/10/2017,02/24/2017,602
"Extreme Ranch, Inc.",2/08/2017,03/15/2017,4/01/2017,1
"FPI Management, Inc.",2/07/2017,2/10/2017,4/10/2017,1
"Maxim Capital Enterprises, Inc.",2/04/2017,02/21/2017,3/07/2017,4
InterMountain Management,2/03/2017,2/03/2017,02/22/2017,49
BankSouth Mortgage,2/03/2017,2/03/2017,4/11/2017,1
Brinderson LP,2/03/2017,10/24/2017,11/17/2017,21
Corporate Travel Planners,2/02/2017,2/02/2017,2/03/2017,1
College of Southern Idaho,2/02/2017,2/02/2017,2/08/2017,3
"Amplify Education, Inc.",2/02/2017,2/03/2017,02/17/2017,2
Krehbiel and Associates CPA,2/02/2017,02/13/2017,03/30/2017,1
CenturyLink,01/30/2017,2/01/2017,02/20/2017,26
Lake Kennedy McCulloch CPA's,1/30/2017,2/11/2017,4/07/2017,7
Pacific Quest,01/30/2017,01/30/2017,04/27/2017,3
Rite Aid Online Store,1/30/2017,4/11/2017,5/17/2017,16
"Roxy Trading, Inc.",01/27/2017,01/27/2017,02/22/2017,5
Campbell Taylor & Company,01/27/2017,2/02/2017,03/21/2017,7
Capital One,1/27/2017,4/20/2017,7/31/2017,4
Capital One 360,1/27/2017,4/20/2017,9/12/2017,4
Distribution International,01/25/2017,01/25/2017,01/27/2017,6
Campbell County Health,01/25/2017,01/25/2017,01/27/2017,6
SouthEast Alaska Regional Health Consortium,01/25/2017,01/25/2017,2/08/2017,3
"Driveline Retail Merchandising, Inc.",01/25/2017,01/25/2017,02/14/2017,30
"Geokinetics, Inc.",01/25/2017,01/25/2017,03/14/2017,3
AT&T,1/25/2017,2/20/2017,5/19/2017,50
TechWise,01/24/2017,2/08/2017,2/10/2017,1
John Deere Financial,01/24/2017,01/24/2017,02/24/2017,3
University of Idaho,01/24/2017,01/24/2017,3/06/2017,3
Washington University School of Medicine,01/24/2017,01/24/2017,03/24/2017,4
"Sky Climber, LLC",01/23/2017,01/23/2017,2/06/2017,2
Pacific Lutheran University,1/23/2017,2/22/2017,4/18/2017,7
Urology Austin,01/22/2017,01/22/2017,03/20/2017,62
Klondex Mines,01/20/2017,01/20/2017,2/09/2017,2
North 40 Outfitters,1/20/2017,1/29/2018,2/23/2018,"1,289"
Petro 49,01/19/2017,01/13/2017,02/13/2017,1
Persante,01/18/2017,01/18/2017,01/31/2017,1
"Intuit, Inc.",01/17/2017,01/17/2017,01/26/2017,4
"Kuhana Associates, LLC",01/17/2017,01/17/2017,01/30/2017,6
"TransPerfect Global, Inc.",01/17/2017,01/17/2017,2/10/2017,1
"Johnson, Hearn, Vinegar & Gee",1/16/2017,1/16/2017,4/14/2017,1
Genpact (Scottrade Bank),1/12/2017,4/02/2017,5/04/2017,31
Aero Air,1/11/2017,1/11/2017,2/02/2017,7
Evanson Asset Management,1/09/2017,1/10/2017,02/14/2017,1
Townsends,1/09/2017,3/10/2017,6/05/2017,10
Commonwealth Health,1/04/2017,2/10/2017,03/24/2017,7
Condie Stoker,1/03/2017,5/18/2017,6/27/2017,12
Federal Direct Tax Services,1/02/2017,2/02/2017,02/22/2017,1
Federal Direct Tax Services,1/02/2017,2/02/2017,02/24/2017,1
ABC Carpet and Home,1/02/2017,8/09/2017,10/09/2017,6
Emory Healthcare,1/01/2017,1/01/2017,02/21/2017,10
Frontier Airlines,1/01/2017,5/03/2017,5/31/2017,9
Inova Health System (Inova),1/01/2017,10/31/2017,11/02/2018,3
Berkeley College,12/31/2016,12/31/2016,2/06/2017,10
HealthTexas Provider Network (Denton Heart Group),12/29/2016,12/29/2016,3/10/2017,2
Family Service Rochester,12/26/2016,01/25/2017,02/17/2017,7
"Ambassador Title Service, RTS Title & Escrow, DRI Title & Escrow",12/25/2016,01/14/2017,02/28/2017,17
Joie.com,12/25/2016,6/06/2017,8/17/2017,11
"Breville USA, Inc.",12/22/2016,12/28/2016,1/17/2017,3
Hutchinson and Bloodgood LLP,12/21/2016,12/21/2016,2/01/2017,67
Galt House Hotels,12/21/2016,4/11/2017,7/26/2017,7
"Wall Titus, LLC",12/20/2016,12/27/2016,3/10/2017,4
KURU Footwear,12/20/2016,3/03/2017,5/15/2017,92
"Ameriprise Financial Services, Inc.",12/15/2016,12/15/2016,03/15/2017,1
prAna,12/14/2016,2/06/2017,3/08/2017,"4,136"
"Hash, O'Brien, Biby & Murray, PLLP",12/13/2016,12/13/2016,12/21/2016,175
"Axis Insurance Services, LLC",12/12/2016,12/12/2016,01/30/2017,1
Synergy Specialists Medical Group,12/09/2016,12/09/2016,01/26/2017,1
El Paso - Los Angles Limousine Express,12/09/2016,9/13/2018,11/02/2018,18
"Ameriprise Financial Services, Inc.",12/06/2016,12/06/2016,1/03/2017,1
The Federal Savings Bank,12/01/2016,12/07/2016,2/07/2017,4
ACTIVE Network,12/01/2016,9/30/2017,2/23/2018,1
Collier Heggerness & Bronk CPA's PS Inc,12/01/2016,1/31/2017,11/07/2018,4
CommonBond,11/30/2016,11/30/2016,12/29/2016,1
The Honest Kitchen,11/30/2016,01/17/2017,02/15/2017,26
Center for Mental Health,11/29/2016,11/29/2016,1/19/2017,66
JoFit,11/29/2016,01/17/2017,02/24/2017,13
"Intuit, Inc.",11/23/2016,11/23/2016,12/12/2016,4
Agri Beef,11/22/2016,4/04/2017,5/02/2017,35
Boeing,11/21/2016,11/21/2016,2/08/2017,7
Ondracek & Company,11/21/2016,2/06/2017,03/13/2017,1
Capital One,11/16/2016,12/22/2016,01/26/2017,1
"Conover Capital Management, LLC / Conover Securities Corporation",11/16/2016,11/16/2016,2/03/2017,9
Jewelry.com,11/16/2016,5/01/2017,6/07/2017,18
Citrix Systems,11/15/2016,11/15/2016,12/06/2016,2
Claremont University Consortium,11/15/2016,11/15/2016,12/22/2016,1
Home Point Financial Corporation,11/15/2016,3/30/2017,6/20/2017,45
The Hartford,11/15/2016,3/03/2017,9/26/2017,1
Indigo Wild,11/14/2016,4/17/2017,6/06/2017,134
Michigan State University,11/13/2016,11/13/2016,11/21/2016,460
Onia,11/12/2016,4/11/2017,6/08/2017,2
Catholic United Financial,11/12/2016,9/06/2017,10/06/2017,495
Bombas LLC,11/11/2016,02/16/2017,6/03/2020,289
"Intuit, Inc.",11/09/2016,12/22/2016,12/02/2016,3
Community Health Plan of Washington,11/07/2016,11/07/2016,12/29/2016,18
"Montana Fish, Wildlife, and Parks",11/04/2016,11/04/2016,12/05/2019,2
SunTrust,11/02/2016,01/27/2017,02/23/2017,1
"Cascade Management, Inc.",11/01/2016,11/01/2016,12/28/2016,2
Akira,11/01/2016,7/31/2017,9/01/2017,12
Memory4Less,11/01/2016,9/30/2017,10/24/2017,1
Alton Lane,11/01/2016,11/30/2017,1/10/2018,3
Sirius XM Radio Inc.,10/31/2016,10/31/2016,11/11/2016,2
DealerBuilt,10/29/2016,11/07/2016,1/09/2017,17
Madison Trust Company,10/28/2016,10/28/2016,12/27/2016,2
"Tropicana St. Louis, LLC",10/27/2016,10/27/2016,12/15/2016,1
Juliska,10/27/2016,5/24/2017,8/03/2017,9
"Bulletproof 360, Inc.",10/26/2016,01/31/2017,03/21/2017,332
"Brandywine Pediatrics, P.A.",10/25/2016,10/25/2016,12/23/2016,1
Madison Square Garden Company,10/24/2016,11/09/2016,11/22/2016,Unknown
Benchmark,10/23/2016,1/01/2017,02/24/2017,Unknown
People for People,10/20/2016,2/03/2017,03/20/2017,1
"Ameriprise Financial Services, Inc.",10/17/2016,10/17/2016,11/21/2016,2
"Guilmartin, DiPiro & Sokolowski, LLC",10/17/2016,11/02/2016,12/02/2016,1
Baylor College of Medicine,10/15/2016,10/31/2016,11/30/2016,1
Baylor College of Medicine,10/15/2016,10/31/2017,11/08/2017,4
"National Wholesale Company, Inc.",10/14/2016,10/15/2016,11/03/2016,55
Southcentral Foundation,10/14/2016,10/18/2016,12/16/2016,7
Uber,10/13/2016,11/15/2016,11/21/2017,81
Luther College,10/12/2016,10/12/2016,12/20/2016,6
SportsMem,10/12/2016,5/31/2017,7/18/2017,58
Baxter Credit Union,10/11/2016,10/11/2016,11/10/2016,1
Advisory Research,10/11/2016,10/11/2017,10/24/2017,1
Contech Engineered Solutions,10/10/2016,10/10/2016,1/17/2017,1
"Baker, Overby & Moore, Inc., P.S.",10/08/2016,10/31/2016,11/08/2016,3
United States Anti-Doping Agency,10/06/2016,10/06/2016,02/24/2017,2
NRSC,10/05/2016,10/05/2016,11/17/2016,2
Yummie,10/04/2016,11/01/2016,11/16/2016,5
Springfield Armory,10/03/2016,11/09/2016,11/18/2016,83
Sheet Metal Workers' Local Union 104,10/03/2016,10/03/2016,12/30/2016,29
"ILKB, LLC",10/01/2016,12/23/2016,4/19/2017,159
Six Continents Hotels,9/29/2016,12/29/2016,4/14/2017,"3,949"
Darwin’s Natural Pet Products,09/27/2016,03/16/2019,6/07/2019,87
State Farm Mutual Automobile Insurance Company,09/27/2016,09/27/2016,10/20/2016,1
LifeBridge Health,9/27/2016,3/18/2018,5/15/2018,28
Backcountry Gear,09/26/2016,11/05/2016,11/23/2016,25
LASOC - Legal Aid Society of Orange County,09/25/2016,10/31/2016,1/06/2017,21
"BraceAbility, Inc.",09/24/2016,11/28/2016,12/13/2016,22
The Federal Savings Bank,09/21/2016,09/29/2016,12/16/2016,4
Ameriprise Financial,09/20/2016,09/20/2016,10/21/2016,1
Dover Federal Credit Union,09/20/2016,09/20/2016,12/22/2016,36
Natural Life Collections,09/18/2016,09/23/2016,10/20/2016,3
Best Western Plus Wine Country Hotel & Suites,9/17/2016,7/20/2017,9/21/2017,6
Hyatt Centric The Loop,9/16/2016,4/28/2017,8/07/2017,2
Intuit (15),09/13/2016,09/13/2016,10/17/2016,4
Pacific Concepts Group d/b/a National Satellite Center,09/13/2016,09/13/2016,10/21/2016,1
"Politi & Magnifico, LLC",09/13/2016,09/13/2016,11/09/2016,4
"Bomberg, Roach & Hanson, PLLC",09/13/2016,09/13/2016,12/16/2016,9
Vaupell Holdings,9/12/2016,9/12/2016,10/03/2016,2
University of Montana,9/12/2016,9/12/2016,10/06/2016,1
Aetna,9/09/2016,9/09/2016,11/16/2016,34
"Eileen Fisher, Inc.",9/07/2016,10/24/2016,11/09/2016,83
Capital One,9/07/2016,12/28/2016,5/01/2017,1
Intuit (14),9/05/2016,9/12/2016,09/23/2016,4
MicroDAQ,9/04/2016,09/22/2016,10/07/2016,2
Primerica,9/04/2016,9/12/2016,11/23/2016,4
"Print EZ, Inc",9/01/2016,09/23/2018,02/15/2019,Unknown
"Lang Companies, Inc.",9/01/2016,10/19/2016,11/30/2016,53
Capital One,9/01/2016,1/09/2017,2/06/2017,353
Coachella.com,9/01/2016,02/28/2017,03/23/2017,1
Loews Hotels,8/29/2016,3/09/2017,7/06/2017,71
Christian Louboutin LLC,08/28/2016,10/03/2016,11/03/2016,2
"USGB, LLC",08/28/2016,08/28/2016,12/15/2016,1
"One World Distribution, Inc.",8/27/2016,2/15/2017,4/07/2017,8
Rain Bird,8/25/2016,9/15/2017,11/01/2017,24
Long Island Jewish Forest Hills Hospital,08/23/2016,10/31/2017,8/05/2021,1
ACTIVEOutdoors,08/22/2016,08/22/2016,09/19/2016,"40,370"
"Francisco Jaume, D.O.",08/22/2016,08/22/2016,10/03/2016,2
Virginia Gift Brands,08/18/2016,02/20/2017,03/27/2017,14
Novation Settlement Solutions,08/15/2016,9/08/2016,09/23/2016,15
Integrity Transitional Hospital,08/15/2016,08/15/2016,10/14/2016,2
Gray Television,8/12/2016,8/12/2016,08/31/2016,34
Lulu's Fashion Lounge,8/11/2016,08/16/2016,09/16/2016,28
"Napa Valley Dentristry of Napa, California",8/11/2016,8/11/2016,09/22/2016,3
Rebecca Minkoff,8/10/2016,8/10/2016,9/09/2016,4
Rebecca Minkoff LLC (2),8/10/2016,10/07/2016,11/07/2016,15
"GameStop, Inc.",8/10/2016,2/09/2017,6/05/2017,"3,075"
Miraval Arizona Resort and Spa,8/10/2016,3/09/2017,6/29/2017,3
Google,8/10/2016,3/09/2017,7/06/2017,1
Aqua-Aston Hospitality,8/10/2016,3/09/2017,7/06/2017,20
Preferred Hotel Group,8/10/2016,3/09/2017,7/06/2017,500
21c Museum Hotels,8/10/2016,3/09/2017,7/06/2017,1
Hard Rock Hotels & Casinos,8/10/2016,3/09/2017,7/07/2017,5
Four Seasons Hotels,8/10/2016,3/09/2017,7/07/2017,7
Halekulani Corporation,8/10/2016,3/09/2017,7/07/2017,1
Trump Towers,8/10/2016,3/09/2017,7/11/2017,17
Club Quarters Hotels,8/10/2016,3/09/2017,7/12/2017,7
SBE ENT Holdings,8/10/2016,3/09/2018,7/14/2017,8
Two Roads Hospitality,8/10/2016,3/09/2017,7/14/2017,165
Remington Lodging & Hospitality,8/10/2016,3/09/2017,7/17/2017,22
Sage Hospitality,8/10/2016,3/09/2017,7/18/2017,3
Verizon,8/10/2016,3/09/2017,7/20/2017,2
Sydell Partners,8/10/2016,3/09/2017,7/21/2017,7
Standard International Management,8/10/2016,3/09/2017,7/21/2017,16
Woodside Hotels and Resorts,8/10/2016,3/09/2017,7/25/2017,8
Kimpton Hotels & Restaurants,8/10/2016,3/09/2017,7/28/2017,25
Stout Street Hospitality,8/10/2016,3/09/2017,7/28/2017,8
Westgage Resorts,8/10/2016,3/09/2017,7/28/2017,11
Noble House (5),8/10/2016,3/09/2017,7/28/2017,16
Yellowstone Park Hotel,8/10/2016,3/09/2017,07/31/2017,Unknown
Yavapai Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Wuksachi Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Wheeling Island Hotel,8/10/2016,3/09/2017,7/31/2017,Unknown
Asbury Hotel,8/10/2016,3/09/2017,7/31/2017,Unknown
Trailer Village RV Park,8/10/2016,3/09/2017,7/31/2017,Unknown
The Lodge at Geneva,8/10/2016,3/09/2017,7/31/2017,Unknown
Tenaya Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Skyland Resort,8/10/2016,3/09/2017,7/31/2017,Unknown
Sea Crest Beach Hotel,8/10/2016,3/09/2017,7/31/2017,Unknown
Rocky Mountain Park Inn,8/10/2016,3/09/2017,7/31/2017,Unknown
Pine Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Lewis Mountain Cabins,8/10/2016,3/09/2017,7/31/2017,Unknown
Kalaloch Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Honey Creek Resort State Park,8/10/2016,3/09/2017,7/31/2017,Unknown
Gray Wolf Inn & Suites,8/10/2016,3/09/2017,7/31/2017,Unknown
Grant Grove Village,8/10/2016,3/09/2017,7/31/2017,Unknown
Gideon Putnam Hotel,8/10/2016,3/09/2017,7/31/2017,Unknown
Explorer Cabins at Yellowstone,8/10/2016,3/09/2017,07/31/2017,Unknown
Cedar Grove,8/10/2016,3/09/2017,7/31/2017,Unknown
Big Meadows Lodge,8/10/2016,3/09/2017,7/31/2017,Unknown
Pacifica,8/10/2016,3/09/2017,8/11/2017,11
Benjamin Hotel,8/10/2016,3/09/2017,8/16/2017,12
Anaheim Portofino Inn & Suites,8/10/2016,3/09/2017,8/24/2017,1
Queen Mary Hotel,8/10/2016,3/09/2017,8/24/2017,10
Hard Rock Sand Diego,8/10/2016,3/09/2017,08/24/2017,1
Anza Calabasas Hotel,8/10/2016,3/09/2017,8/24/2017,4
Roosevelt Hotel,8/10/2016,3/09/2017,8/28/2017,6
The Bicycle Hotel & Casino,8/10/2016,3/09/2017,8/28/2017,1
Red Roof Inns,8/10/2016,3/09/2017,8/29/2017,5
Evans Hotels,8/10/2016,3/09/2017,9/01/2017,8
Sixty Hotels,8/10/2016,3/09/2017,9/05/2017,5
Rivertide Suites,8/10/2016,3/09/2017,10/13/2017,3
Oxford,8/10/2016,3/09/2017,11/03/2017,3
The Whitehall Hotel,8/10/2016,3/09/2017,11/10/2017,1
JRK Hotel Group,8/10/2016,3/09/2017,11/20/2017,4
BECU (Boeing Employees' Credit Union),8/09/2016,8/09/2016,09/26/2016,1
"Pratap Kurrar, M.D.",8/08/2016,8/09/2016,9/12/2016,1
Thomasville Eye Center,8/08/2016,8/08/2016,09/28/2016,1
Fiduciary Management,8/07/2016,8/07/2017,9/06/2017,1
Honig's Whistle Stop,8/04/2016,08/30/2016,11/09/2016,45
Intuit (13),8/03/2016,8/03/2016,08/19/2016,6
"Wheeler & Egger, CPAs",8/03/2016,8/09/2016,09/13/2016,4
Central Ohio Urology Group (COUG),8/02/2016,8/02/2016,09/22/2016,20
AmQuip Crane Rental,8/02/2016,02/22/2017,3/01/2017,1
M Holdings Securities,8/01/2016,8/01/2016,08/31/2016,7
UBT,8/01/2016,1/31/2017,6/15/2017,4
Movement Mortgage,8/01/2016,10/15/2016,7/10/2017,2
GlaxoSmithKline,8/01/2016,3/17/2017,10/31/2017,1
First American Payment Systems,8/01/2016,12/07/2018,1/10/2019,1
"The Topps Company, Inc.",07/30/2016,10/12/2016,12/27/2016,18
HD Vest Investment Services (2),07/28/2016,8/01/2016,10/05/2016,2
Gibson Insurance Agency,07/28/2016,07/28/2016,10/14/2016,1
"Green Plains, Inc.",07/27/2016,07/27/2016,8/01/2016,1
Michelle A. Pecora CPA,07/27/2016,8/02/2016,08/25/2016,1
Eye Institute of Marin,07/26/2016,07/27/2016,11/16/2016,1
Nutrex Hawaii,7/26/2016,8/09/2017,10/06/2017,1
"Precision Pipeline, LLC, subsidiary of MasTec, Inc.",07/25/2016,07/25/2016,08/15/2016,4
Vera Bradley,07/25/2016,09/23/2016,10/12/2016,2
USAA Federal Savings Bank,07/23/2016,07/25/2016,8/11/2016,1
"Nordic Consulting Partners, Inc.",07/21/2016,07/21/2016,07/29/2016,1
Santoro CPA and SimpleBooks Corp.,07/21/2016,07/21/2016,09/27/2016,1
Broward College,7/18/2016,9/08/2017,1/10/2018,8
EBSCO Sign Group a/k/a OutdoorSigns America,07/16/2016,07/22/2016,8/08/2016,2
"Presnell Gage, PLLC",07/16/2016,08/18/2016,08/18/2016,35
State Street,07/16/2016,8/05/2016,11/28/2016,6
"Eddie Bauer, LLC",07/15/2016,07/15/2016,08/19/2016,"8,492"
UFCW Local 655 Employers Joint Pension Plan,07/14/2016,07/21/2016,11/09/2016,71
Sentinel Hotel,7/12/2016,10/03/2016,11/04/2016,4
"Graphik Dimensions, Ltd.",7/12/2016,11/30/2016,12/28/2016,61
"Stallcup & Associates, CPAs",7/11/2016,7/11/2016,09/21/2016,1
"Curtis F. Robinson, M.D.",7/11/2016,07/26/2016,10/13/2016,3
reThink Group,7/11/2016,8/04/2017,9/06/2017,8
Hartz Hotel Services,7/10/2016,3/09/2017,7/24/2017,1
Cornerstone Business & Management Solutions,7/10/2016,7/10/2017,8/28/2017,74
The Credit Pros,7/09/2016,12/15/2019,07/30/2020,18
"inVentiv Health, Inc.",7/07/2016,7/07/2016,07/21/2016,8
"Anderson, Tackman & Co.",7/06/2016,7/06/2016,08/15/2016,4
Burrell Behavioral Health,7/06/2016,7/07/2016,9/06/2016,1
Borden Perlman Salisbury & Kelly Insurance,7/06/2016,7/06/2016,10/05/2016,3
Eastern New Mexico University (ENMU),7/01/2016,07/14/2021,09/16/2021,2
"Western Union Financial Services, Inc.",7/01/2016,07/31/2016,12/20/2016,169
Capital One,06/29/2016,07/17/2016,09/15/2016,1
Toyota Motor Credit Corporation (3),06/28/2016,06/28/2016,08/22/2016,19
"LendKey Technologies, Inc.",6/27/2016,12/21/2017,2/15/2018,9
PAX Labs,06/25/2016,07/22/2016,8/12/2016,10
American College of Emergency Physicians (ACEP) (ComNet Marketing),06/23/2016,06/23/2016,07/22/2016,1
Banner Health,06/23/2016,7/07/2016,8/03/2016,"2,155"
King McNamara Moriarty,06/23/2016,12/13/2016,2/02/2017,3
"Matouk Factory Store, Inc.",06/19/2016,07/22/2016,08/18/2016,1
GNAC,6/18/2016,9/19/2017,11/13/2017,"4,026"
"Gamesa Wind US, LLC",06/17/2016,06/17/2016,06/27/2016,1
Career Education Corporation,06/16/2016,06/16/2016,7/11/2016,1
JAM Paper & Envelope,6/16/2016,11/06/2017,12/01/2017,78
"Taleff & Murphy, P.C.",06/15/2016,06/15/2016,8/10/2016,Unknown
"Friedman & Perry, CPA's",06/15/2016,01/30/2017,3/09/2017,2
Rotech Healthcare,06/13/2016,06/13/2016,8/10/2016,1
Equipmentfr.com,6/09/2016,6/06/2017,8/17/2017,11
"NLU Products, LLC (BGZ Brands)",6/08/2016,6/08/2016,7/05/2016,289
Skagit Farmers Supply (SFS),6/06/2016,6/07/2016,07/20/2016,17
Naturepedic,6/06/2016,10/28/2016,12/27/2016,4
Sonabank,6/04/2016,8/26/2017,10/31/2017,1
North Carolina State University,6/03/2016,6/03/2016,7/08/2016,2
Intuit (12),6/02/2016,6/02/2016,06/21/2016,2
Crimson Trace Corporation,6/01/2016,5/05/2017,6/02/2017,41
"Internet Chess Club, Inc.",05/30/2016,05/30/2016,07/19/2016,2
Eastwood Company,05/29/2016,07/22/2016,10/19/2016,114
Rosewood Hotel Group,5/29/2016,1/11/2017,1/19/2018,5
"Extraction Oil & Gas, LLC",05/23/2016,05/23/2016,05/31/2016,1
HD Vest Investment Services,05/23/2016,7/06/2016,8/04/2016,818
Newkirk - Symphonix,05/21/2016,7/06/2016,08/19/2016,"2,072"
Glu Mobile,05/20/2016,05/21/2016,6/01/2016,1
Blue Cross Blue Shield of North Dakota,05/20/2016,6/02/2016,7/06/2016,3
Intuit (11),05/17/2016,05/17/2016,6/10/2016,3
United States Fire Insurance (CoverX Corporation),05/16/2016,05/16/2016,07/21/2016,42
Unison Home,05/16/2016,10/18/2016,12/28/2016,3
GT Distributors,5/16/2016,7/10/2017,8/25/2017,2
Medtronic,5/11/2016,5/11/2016,7/08/2016,1
Tiemart,5/04/2016,05/19/2016,06/13/2016,1
Capital One,5/04/2016,6/12/2017,9/22/2017,1
"MedAltus, LLC",5/03/2016,06/29/2016,07/29/2016,8
Intuit (10),5/02/2016,5/02/2016,05/26/2016,2
Spiraledge - Swim Outlet.com & YogaOutlet.com,5/02/2016,11/22/2016,1/12/2017,"1,411"
TALX,5/02/2016,5/16/2017,5/11/2017,18
IAP Worldwide (Ingenuity and Purpose),5/01/2016,06/14/2016,07/14/2016,15
IAP Worldwide (Ingenuity and Purpose) (2),5/01/2016,06/14/2016,9/09/2016,2
"Dale A. Wein, Prof. LLC",5/01/2016,7/12/2016,10/01/2016,9
Jackson Hewitt,5/01/2016,12/31/2016,4/29/2017,7
Brunswick Corporation,04/29/2016,04/29/2016,5/05/2016,1
Kalamazoo College,04/29/2016,04/29/2016,5/11/2016,1
"Waller & Associates, Inc.",4/29/2016,2/21/2018,6/29/2018,1
AmeriPrise Financial (2),04/28/2016,04/28/2016,06/14/2016,2
Primoris Services Corporation,04/26/2016,04/26/2016,07/13/2016,1
Noble House Hotels & Resorts (3),04/26/2016,6/08/2016,08/24/2016,1
Noble House Hotels & Resorts (4),04/25/2016,8/03/2016,9/02/2016,50
Ursus Holdings,04/25/2016,04/25/2016,09/15/2016,6
International Code Council,04/25/2016,09/14/2016,01/27/2017,28
Intex Recreation Corp,04/24/2016,12/14/2016,02/22/2017,210
Classic Firearms,4/24/2016,6/08/2017,9/01/2017,39
Project Management Institute (PMI),04/23/2016,04/24/2016,07/14/2016,4
Institute of Management Accountants (IMA),04/23/2016,04/24/2016,07/20/2016,2
Specialty Equipment Market Association (SEMA),04/23/2016,04/24/2016,07/27/2016,2
American Pharmacists Association,04/23/2016,04/24/2016,12/29/2016,2
Comnet Marketing Group,04/22/2016,04/24/2016,7/12/2016,1
Academy of Nutrition & Dietetics,04/22/2016,04/24/2016,07/28/2016,2
"Metropolitan Jewish Health System, Inc.",04/21/2016,04/21/2016,05/19/2016,1
"San Antonio Shoemakers, Inc. (SAS)",04/21/2016,06/13/2016,07/19/2016,23
CHI Franciscan Healthcare Highline Medical Center (R-C Healthcare Management),04/21/2016,06/13/2016,08/31/2016,15
Distinct Software Solutions,04/19/2016,5/02/2016,5/10/2016,5
"Rayner, Foos, Kruse and Irwin, CPAs (RFKI)",04/18/2016,05/27/2016,06/28/2016,1
Bon Secours Health System/R-C Healthcare Management,04/18/2016,04/21/2016,8/12/2016,45
Northdrop Grumman Systems,4/18/2016,3/29/2017,4/19/2017,1
Torrance Memorial Medical Center,4/18/2016,4/19/2017,7/07/2017,5
VF Outlet,04/17/2016,08/26/2016,09/28/2016,12
Michels Corporation,04/16/2016,04/16/2016,04/27/2016,34
Rocky Mountain Credit Union,04/15/2016,06/30/2016,10/20/2016,106
O.C. Tanner,04/14/2016,04/14/2016,04/15/2016,2
"MYR Group (L.E. Myers Co., Sturgeon Electric, GSW Construction)",04/14/2016,04/14/2016,5/12/2016,28
"Shoes West Distribution, Inc dba Taos Footwear",04/14/2016,04/14/2016,05/27/2016,3
Renville County Hospital and Clinic,04/13/2016,04/13/2016,5/12/2016,1
"City of Plummer, Idaho",04/13/2016,04/14/2016,9/09/2016,7
"RM Acquisition, LLC",4/12/2016,3/02/2017,5/05/2017,48
DealerSocket Inc.,4/11/2016,4/11/2016,04/18/2016,1
"Curse, Inc.",4/11/2016,4/11/2016,5/11/2016,1
Total Community Options dba InnovAge,4/08/2016,04/22/2016,04/26/2016,1
National Network of Abortion Funds (NNAF),4/07/2016,4/07/2016,05/27/2016,1
"Rule Steel, Inc.",4/06/2016,4/06/2016,4/11/2016,1
Intuit (9),4/06/2016,04/27/2016,5/09/2016,8
Leavitt Group,4/05/2016,4/05/2016,5/03/2016,68
Midland Paper Packaging & Supplies,4/04/2016,4/04/2016,4/06/2016,1
Addus HomeCare,03/31/2016,03/31/2016,04/15/2016,1
Intuit (8),03/30/2016,4/11/2016,04/28/2016,9
"Ken Waterman, CPA",03/30/2016,03/30/2016,5/03/2016,1
Valley Anesthesiology and Pain Consultants (VAPC),03/30/2016,06/13/2016,8/12/2016,586
"Department of Health and Human Services, Early Childhood Services Bureau",03/29/2016,03/29/2016,04/14/2016,185
King of Prussia Dental Association (KOP),03/28/2016,6/05/2016,9/08/2016,3
Citibank,3/27/2016,3/27/2017,4/11/2017,2
Charles Schwab & Co.,03/25/2016,03/25/2016,5/04/2016,6
Examination Management Services Inc. (EMSI),03/24/2016,03/24/2016,03/30/2016,12
Great Falls Clinic,03/24/2016,03/24/2016,4/01/2016,623
DXE Medical,03/24/2016,07/29/2016,08/18/2016,7
Ryman Hospitality Properties,03/23/2016,03/23/2016,4/01/2016,2
Children's Mercy Hospital,3/23/2016,3/27/2017,5/19/2017,1
Clinton Health Access Initiative (CHAI),03/21/2016,03/21/2016,4/01/2016,1
Block and Company (MMF Industries) (2),03/21/2016,03/21/2016,05/13/2016,1
Trump Hotel Collection,03/21/2016,03/21/2016,6/10/2016,1
"San Juan County, New Mexico",03/18/2016,03/18/2016,05/13/2016,2
"OptumRx, Inc.",03/16/2016,03/16/2016,4/08/2016,5
PayneWest Insurance,03/15/2016,03/15/2016,03/17/2016,430
Ullrich Delevati CPAs,03/15/2016,03/15/2016,03/28/2016,3
Intuit (7),03/15/2016,03/15/2016,04/13/2016,2
"Pioneer News Group of Seattle, Washington",3/12/2016,3/12/2016,4/12/2016,210
"Lanyon Solutions, Inc.",3/10/2016,3/10/2016,03/21/2016,1
