Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"Equifax, Inc., 1550 Peachtree Street, N.E., Atlanta,GA 30309",2017-05-13,2017-10-12,536436
"Universal Nutrition, 3 Terminal Road, New Brunswick, NJ, 08901",2017-05-01,2017-10-11,3
"Atlantic Cigar Company, LLC, 3 Horne Drive, Suite 102, Folcroft, PA 19032",2017-07-21,2017-10-10,8
"Phillips & Temro Industries, Inc., 9700 West 74th Street, Eden Prairie, MN 55344",2017-03-01,2017-10-09,1
ABC Carpet & Home,2017-01-02,2017-10-09,9
"Kayser-Roth Corporation, 102 Corporate Center Blvd, Greensboro, NC 27408",2017-07-01,2017-10-09,31
Catholic United Financial,2016-11-12,2017-10-06,30
"Tommie Copper, Inc., 74 South Moger Avenue, Mount Kisco, NY 10549",2017-04-25,2017-10-06,167
Navy Federal Credit Union,2014-12-01,2017-10-06,3
"Cabrillo Community College District, 6500 Soquel Drive, Aptos, CA 95003",2017-09-04,2017-10-05,1
"Neue Galerie, 1048 5th Avenue, New York, NY 10028",2013-12-05,2017-10-05,1
"Alpha Industries, Inc, 14200 Park Meadow Drive, Ste 110S, Chantilly, VA 20151",2017-07-06,2017-10-02,1
"The Online Traffic School, 225 East Robinson Street, Suite 570, Orlando, FL 32801",2014-06-20,2017-09-29,53
"Briggs & Stratton Corp, 12301 West Wirth Street, Wauwatosa, WI 53222",2017-07-25,2017-09-29,1
"Lendio, Inc., 10235 South Jordan Parkway, Suite 410, South Jordan, Utah 84095",2017-05-01,2017-09-26,1
 ,2017-07-04,2017-09-22,2
"Plow & Hearth, LLC, 7021 Wolftown-Hood Road, Madison, VA 22727: 540-948-2272",2017-07-22,2017-09-22,90
"Sprint Corporation, 12512 Sunrise Valley Dr. Reston, VA 20191",2017-05-07,2017-09-20,2
"Bulletproof 360, Inc., 1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",2016-10-26,2017-09-15,122
"The International Council of Shopping Centers, 1221 Avenue of the Americas, 41st floor, New York, NY 10020",2017-03-24,2017-09-15,15
"AT&T Services, Inc., 208 S. Akard Street, Dallas, TX 75202",2017-02-01,2017-09-14,11
Frontier Natural Products Co-Op breach notice,2017-05-12,2017-09-11,10
"SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94025",2017-07-26,2017-09-08,81
"Equifax, Inc., 1550 Peachtree Street, N.E., Atlanta,GA 30309",2017-05-13,2017-09-07,524517
"Major League Lacrosse, 20 Guest Street, Suite 125, Boston, MA 02135",2017-08-23,2017-09-07,12
"The reThink Group, Inc., 5870 Charlotte Lane, Suite 300, Cumming, GA 30040",2017-07-11,2017-09-06,5
"Sixty Hotels,206 Spring Street, 4th Floor, New York, NY 02108",2016-08-10,2017-09-05,9
"Aptos, Inc. (Re: Mrs. Prindables), 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326",2017-07-05,2017-09-01,2
"WRJ Holdings LLC, d/b/a Classic Firearms, 3305 Westwood Industrial Drive, Monroe, NC 28110",2017-04-24,2017-09-01,55
"Med-Cert, Inc., 3853 Northdale Blvd, #344, Tampa, Florida 33624",2017-06-01,2017-09-01,210
Evans Hotels,2016-08-10,2017-09-01,5
"Akira, 200 N. Fairfield Ave., Chicago, IL 60612",2016-11-01,2017-09-01,11
Orchards Inn,2016-08-10,2017-08-31,2
"The Domain Hotel, Sunnyvale, California",2016-08-10,2017-08-28,1
"The Bicycle Hotel & Casino, Bell Gardens, California",2016-08-10,2017-08-28,1
"The Gallivant Times Square, NY, NY",2016-08-10,2017-08-28,1
The Nathan Hale Inn & Conference Center,2016-08-10,2017-08-28,6
"The Roosevelt Hotel, NY, NY",2016-08-10,2017-08-28,23
CoreLogic Credco ,2017-07-21,2017-08-29,78
Fidelity,2017-07-11,2017-08-25,1
"GT Distributors, Inc., 2545 Brockton Dr., #100, Austin, TX 78758",2017-05-16,2017-08-25,2
"Crescent Mortgage Company, Atlanta, Georgia",2017-07-11,2017-08-24,1
"Aimbridge Hospitality Holdings, LLC, 5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",2017-08-10,2017-08-24,22
"Zymo Research Corp (""Zymo"")",2017-03-15,2017-08-22,NA
"Dutch, LLC, 5301 South Santa Fe, Vernon, CA 90058",2016-06-09,2017-08-17,22
1 Hotel,2016-08-10,2017-08-17,1
Native Canada Footwear Ltd,2015-04-28,2017-08-16,50
"Denihan Hospitality (""Denihan""), ",2016-08-10,2017-08-16,78
Pacifica Hotel Management LLC,2016-08-10,2017-08-11,8
"Marine Corps Association &Foundation (""MCA"") ",2017-04-16,2017-08-11,20
"Performant Financial Corporation , 333 North Canyons Parkway Livermore, CA 94551",2017-01-17,2017-08-11,1
"Shoe Station, Inc., 720 Executive Park Drive, Mobile, AL 36606",2017-04-27,2017-08-08,7
"Hyatt Centric The Loop, Chicago, Illinois",2016-09-27,2017-08-07,NA
"Saddle Ridge Partners, LLC, dba Wizard Labs, 927 Fern Street Suite 1000, Altamonte Springs, FL 32701",2017-05-25,2017-08-07,17
"State Industrial Products, 5915 Landerbnrook Drive, Suite 300, Mayfield, OH 44124",2017-02-16,2017-08-04,1
"Botwinick & Co., LLC",2017-03-01,2017-08-04,2
Juliska,2016-10-27,2017-08-03,18
"US Residential Group, LLC, 5001 Spring Valley Road, Suite 1000E, Dallas, TX 75244",2017-03-26,2017-08-02,1
"Bryan Cave LLP, 1155 F Street, N.W. Washington, DC 20004",2016-08-10,2017-07-31,33
"21c Museum Hotels LLC, 710 West Main Street, Third Floor, Louisville, Kentucky 40202",2016-08-10,2017-07-28,4
"Salt Hotels, LLC, 210 5th Avenue, Ashbury, NJ 07712",2016-08-10,2017-07-28,NA
"Westgate Resorts Ltd, 5601 Windhover Drive, Orlando, FL 32819",2016-08-10,2017-07-28,28
"Noble House Hotels and Resorts, 600 6th Street, South, Kirkland, WA 98033",2016-08-10,2017-07-28,12
"Steel Technology LLC, d/b/a Hydro Flask, 525 NW York Drive, Bend, OR 97703",2017-02-10,2017-07-28,132
"Directron, 10402 Harwin Drive, Houston, TX 77036",2017-02-20,2017-07-28,3
"Cole Sport, 1615 Park Ave, P.O. Box 3509, Park City, Utah 84060",2017-03-27,2017-07-27,1
"A1 J. Schneider Company, 140 N. 4th Street, Louisville, KY 40202",2016-12-21,2017-07-26,4
Woodside Hotels and Resorts,2016-08-10,2017-07-25,8
"Hartz Hotel Services, Inc., 400 Plaza Drive, Secaucus, NJ 07094",2016-08-10,2017-07-24,4
"Island Hotel Company Limited, One Casino Drive, Paradise Island, Bahamas",2016-11-01,2017-07-24,NA
"Standard International Management, LLC, 23 East 4th Street, NY, NY 10003",2016-08-10,2017-07-21,8
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-04-18,2017-07-21,22
"Sabre GLBL, Inc., 3150 Sabre Drive, Southlake, TX 76092",2016-08-10,2017-07-19,1
"Republic Bank & Trust Co., 601 W. Market St., Louisville, KY 40202",NA,2017-07-19,NA
"Remington, Lodging & Hospitality, LLC & Associates",2016-08-10,2017-07-18,21
"Whitinger & Company LLC, 1100 W. White River Blvd, Muncie, IN 47303",2017-01-29,2017-07-18,3
"SportsMem, Inc., 251 International Parkway, Sunrise, Florida 33325",2016-10-12,2017-07-18,116
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-08-19,2017-07-17,1
"SB ENT Holdings, LLC, 475 10th Ave., 11th Floor, New York, NY 10018",2016-08-10,2017-07-14,NA
"Brigham Young University, Office of the General Counsel, A-357 ASB, Provo, Utah 84602",2017-06-01,2017-07-12,1
"Club Quarters Hotels, One Atlantic Street, 5th Floor, Stamford, CT 06901",2016-08-10,2017-07-12,42
"CBRE, 400 South Hope Street, 25th Floor, Los Angeles, CA 90071",2016-08-10,2017-07-10,1
"Peachtree Neurological Clinic PC 95 Collier Road NW, Suite 4045, Atlanta, GA 30309",2016-02-18,2017-07-10,28
"Golf & Ski Warehouse, Inc., 290 Plainfield Road, West Lebanon, NH 03784",2016-03-08,2017-07-07,348
Halekulani Corp (thru Sabre Hospitality Solutions),2016-08-10,2017-07-06,NA
Four Seasons Hotels Limited (incident actually occurred at Sabre Hospitality Solutions),2016-08-10,2017-07-06,13
"Preferred Hotel Group, Inc., 311 South Wacker Drive, Chicago, IL 60606",2016-08-10,2017-07-03,446
Southern Illinois Hospital Services,2017-02-13,2017-06-23,1
"TD Bank, N.A., 1 Portland Square, Portland, Maine 04101",2017-04-28,2017-06-21,101
"Dallas County Community College District, 1601 S Lamar Street, Dallas, TX 75215",2017-02-21,2017-06-16,1
Southern Tide,2017-04-27,2017-06-15,10
"Yeo & Yeo, 3023 Davenport Ave., Saginaw, MI 48602",2017-03-09,2017-06-09,2
"Leader Bank, N.A., 180 Massachusetts Avenue, Arlington, MA 02474",2016-12-30,2017-06-07,1
"Jewelry.com (division of Richline Group, Inc.) 6701 Nob Hill Road, Tamarac, Florida 33321",2016-11-16,2017-06-07,23
"Townsends, P.O. Box 415, 133 North First Street, Pierceton, IN 46562",2017-01-09,2017-06-05,12
"GameStop, Inc., 625 Westport Parkway, Grapevine, TX 76051",2016-08-10,2017-06-05,4956
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-04-19,2017-06-02,1
"Township of Springfield, 100 Mountain Avenue, Springfield, NJ 07081",2017-02-22,2017-06-02,6
"Crimson Trace Corporation, 9780 SW Freeman Drive, Wilsonville, Oregon 97070",2016-06-01,2017-06-01,34
"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",2016-01-14,2017-05-26,14
"Chipolte Mexican Grill, Inc., 1401 Wynkoop Street, Denver, CO 80202",2017-03-24,2017-05-26,NA
"Char-Broil, LLC, 1442 Belfast Ave., Columbus, GA 31904",2017-03-22,2017-05-24,95
"Incipio, LLC, 6001 Oak Canyon, Irvine, CA 92618",2016-02-01,2017-05-23,239
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-01-04,2017-05-23,23
"AT&T Services, Inc., 208 S. Akard Street, Dallas, TX 75202",2017-01-25,2017-05-19,45
"Rite Aid Online Store, Inc., 30 Hunter Lane, Camp Hill, PA 17011",2017-01-30,2017-05-17,194
"Indigo Wild, LLC, 3125 Wyandotte St, Kansas City, MO 64111",2017-11-14,2017-05-12,135
Brooks Brothers ,2016-04-04,2017-05-11,NA
"RM Acquisition, LLC d/b/a Rand McNally, 9855 Woods Drive, Skokie, IL 60077 (Email)",2016-04-12,2017-05-05,108
"Genpact International, Inc., 1155 Avenue of the Americas, 4th floor, New York, NY 10036 (email)",2017-01-12,2017-05-04,27
"Agri Beef Co., 1555 Shoreline Drive, Suite 320, Boise, ID 83702 (Email)",2016-11-22,2017-05-04,13
"McDavid, Inc., 11488 Slater Ave, Fountain Valley, CA 92708 (paper)",2016-09-15,2017-05-01,6
"Nathan Sports, 11488 Slater Avenue, Fountain Valley, CA 92708 (paper)",2016-09-15,2017-05-01,2
Jackson Hewitt Tax Service Inc. (paper),2016-05-01,2017-04-28,2
"Gannett Company, Inc., 7950 Jones Branch Dr., McLean, VA 22107 (email)",2017-03-28,2017-04-28,6
"Greenwood School District 50, 1855 Calhoun Road, P.O. Box 248, Greenwood, SC 29648 (email)",2017-01-19,2017-04-27,1
"One World Distribution, Inc., d/b/a One World Direct, 10 First Avenue East, Mobridge, SD 57601 (email)",2013-01-30,2017-04-07,NA
"One World Distribution, Inc., d/b/a One World Direct, 10 First Avenue East, Mobridge, SD 57601 (email)",2016-08-27,2017-04-07,31
"Tempur-Pedic, 1000 Tempur Way, Lexington, KY 40511 (paper)",NA,2017-04-04,1111
"GlassWasherParts.com, 2950 NW 22nd Terrace, Pompano Beach, FL 33069 thru Aptos (paper)",2016-02-01,2017-04-04,2
"The Children's Place Inc., (paper)",NA,2017-04-04,1
"Commonwealth Health Corp, 800 Park Street, Bowling Green, KY 42101 (email)",2014-08-01,2017-04-03,10
"William E. Howe & Co. CPAs, 105 Chesley Drive, Yorktown Building, 1st Floor, Media, PA 19063 (email)",2017-02-01,2017-03-31,1
"Nathan Associates, Inc., 1777 North Kent Street, Suite 1400, Arlington, VA 22209 (email)",2017-12-29,2017-03-30,1
ShowTix4U (paper),NA,2017-03-29,5
"PenServ Plan Services, Inc. (paper)",2017-02-26,2017-03-28,NA
"Language Services Associates, Inc., 455 Business Center Drive, Horsham, PA 19044 (email)",2017-02-04,2017-02-10,1
"Virginia Gift Brands - parent company to Woodwick, 1000 Dillard ave., Forest, VA 24551 (email)",2016-08-18,2017-03-27,14
"Bulletproof 360, Inc., 1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",2016-10-26,2017-03-21,115
"Rand McNally, 9855 Woods Drive, Stokie, IL 60077 (email)",2016-09-01,2017-03-20,5
"Bacon & Co. CPA's LLC, 875 Centerville Road, Bldg 3-10, Warwick, RI 02886 (email)",2016-11-30,2017-03-16,4
"Ameriprise Financial, Inc., 707 Second Avenue S, Minneapolis, MN 55474 (email)",NA,2017-01-18,4
"Zest Dental Solutions, 2875 Loker Avenue East, Carlsbad, CA 92010 (email)",2013-12-31,2017-03-14,13
"Bambeco Inc., 621 East Pratt St., Suite 300, Baltimore, MD 21202 thru Aptos (paper)",NA,2017-03-10,464
"Kahr Arms, Auto-Ordnance, Magnum research - thru Aptos (paper)",NA,2017-03-09,319
Atlantic Cigar through Aptos (paper),NA,2017-03-08,140
"Viacom Inc., 1515 Broadway, New York, NY 10036 (paper)",2017-02-03,2017-03-08,1
"prAna, 3209 Lionshead Ave., Carlsbad, CA 92010 (email)",2016-12-14,2017-03-08,3830
"Friedman & Perry, CPAs, 39560 Stevenson Place, Suite 112, Fremont, CA 94539 (email)",2016-06-15,2017-03-07,1
"West Music Company, Inc., 1212 5th Street, Coralville, IA 52241",2016-02-01,2017-03-03,227
"Aptos, Inc., 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326 (3rd party provider of digital commerce platform services for Mrs Prindables)",2016-02-01,2017-02-25,14403
"Aptos, Inc., 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326 (3rd party provider of digital commerce platform services for Mrs Prindables)",2016-02-01,2017-02-24,201
"Aptos, Inc., 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326 (3rd party provider of digital commerce platform services for Affy Tapple)",2016-02-01,2017-02-24,3
"Roberts Hawaii, Inc., 680 Iwilei Road #700, Honolulu, HI 96817",2015-07-30,2017-02-24,35
"Rod's Western Palace (""Rod's""),",2016-10-11,2017-02-24,85
"Benchmark - A Global Hospitality Company, 4 Waterway Square Place, Suite 300, The Woodlands, TX 77380",2016-10-23,2017-02-24,NA
"JoFit, 995 Mearns Road, Warminster, PA 18974",2017-01-15,2017-02-23,7
"Arabella Advisors LLC, 1201 Connecticut Ave., NW, Ste 300, Washington, DC 20036",2016-01-05,2017-02-22,2
"SunTrust Bank, P.O. Box 4418, Atlanta, GA 30302",NA,2017-02-21,6
American Quilters Society,2017-01-01,2017-02-20,2
"Dumac Business Systems, Inc.",2017-01-01,2017-02-20,259
Eddie Bauer ,2017-01-01,2017-02-20,374
Ground Round - Bangor,2017-01-01,2017-02-20,6
"Honig's Whistle Stop, Inc.",2017-01-01,2017-02-20,6
Kimpton Hotels  ,2017-01-01,2017-02-20,5
Omni Hotels  ,2017-01-01,2017-02-20,10
Pictureframes.com,2017-01-01,2017-02-20,10
Springfield Armory ,2017-01-01,2017-02-20,5
Starwood Hotels,2017-01-01,2017-02-20,52
Wise Company Inc.,2017-01-01,2017-02-20,9
"Intex Recreation Corp, 4001 Via Oro Ave., Ste 210, Long Beach, CA 90810",2016-04-24,2017-02-16,380
"Family Service Rochester, 4600 18th Ave, NW, Rochester, MN 55901",2016-12-26,2017-02-17,1
"The Boeing Company, 100 North Riverside, Chicago, IL 60606",2016-11-21,2017-02-09,12
College of Southern Idaho,2017-02-02,2017-02-08,1
"Land Title Guarantee Co., 5975 Greenwood Plaza Blvd, Ste 220, Greenwood Village, CO 80111",2016-03-01,2017-02-07,1
"MDF Instruments, 31416 Agoura Road, Suite 180, Westlake Village, CA 91361",2016-07-02,2017-02-03,30
"King, McNamara, Moriarty, LLP, 473 Washington Street, Norwood, MA 02062",2016-01-18,2017-02-02,29
International Code Council,2016-04-25,2017-01-27,30
"Charles Komar & Sons, Inc., 135 Madison Avenue, NY, NY 10013",2015-03-01,2017-01-26,134
"Summit Reinsurance Services, Inc., 7030 Pointe Inverness Way, Ste 350, Fort Wayne, IN 46804",2016-03-13,2017-01-20,17
"Spiraledge, Inc., 1919 Bascom Ave., Ste 300, Campbell, CA 95008",2016-05-02,2017-01-12,2272
"R & A Design d/b/a Unison Home, 1911 W. Division Street, Chicago, IL 60622",2016-05-16,2017-01-04,4
"Community Health Plan of Washington, 720 Olive Way, Suite 300, Seattle, WA 98101",2016-01-16,2016-12-29,2
"Graphik Dimensions, Ltd, 2103 Brentwood Street, High Point, NC 27263",2016-07-12,2016-12-28,138
"The Topps Company Inc., One Whitehall Street, New York, NY 10004",2016-07-30,2016-12-27,52
"Dover Federal Credit Union, 1075 Silver Lake Blvd, Dover, DE 19904",2016-09-20,2016-12-22,114
University of South Carolina Upstate,2016-03-23,2016-12-19,2
"BraceAbility Inc., Cedar Rapids, IA",2016-09-24,2016-12-13,20
"Dover Federal Credit Union, 1075 Silver Lake Blvd, Dover, DE 19904",2016-09-20,2016-12-22,114
"The Federal Savings Bank, 300 North Elizabeth Street, Ste 3E, Chicago, IL 60657",2016-09-21,2016-12-16,2
"Julep Beauty Inc., 111 Queen Anne Ave., North Suite 200, Seattle, WA 98122",2016-11-06,2016-12-09,1
Acer.com 2542984530,2016-10-01,2016-11-29,5
Dailysale.com,2016-10-01,2016-11-29,34
"SwervePoint LLC, 75 Sylvan Street, Danvers, MA 01923",2016-02-10,2016-11-29,12
"Caesars Entertainment, One Caesars Palace Drive, Las Vegas, NV 89109",2015-07-29,2016-11-28,1
"The Madison Square Garden Co., Madison Square Garden, 2 Pennsylvania Plaza, New York, NY 10121",2016-11-09,2016-11-22,NA
"Educents Inc, 369 Sutter Street, San Francisco, CA 94108",2016-09-26,2016-11-22,2
"Island Hotel Company Limited, One Casino Drive, Paradise Island, Bahamas",2016-03-09,2016-11-22,NA
"BWTX Associates, 4408 Spricewood Springs Road, Austin, TX 78759",2016-04-01,2016-11-21,NA
"Springfield Armory, 420 West Main Street, Geneseo, IL 61254",2015-10-03,2016-11-18,NA
"Times Three Clothier, d/b/a Yummie by Heather Thomson, 530 Seventh Avenue, Suite 1505, NY, NY 10018",2016-10-04,2016-11-16,4
"Charles Schwab & Co., 211 Main Street, San Francisco, CA 94105",2016-03-25,2016-11-11,55
"Eileen Fisher, Inc., 2 Bridge Street, Suite 230, Irvington, NY 10533",2016-09-07,2016-11-09,113
"Politi & Magnifico LLC, 5 Edgewood Avenue, Greenwich, CT 06830",2016-06-16,2016-11-09,1
"UFCW Local 655 Food Employers Joint Pension Plan, 300 Weidman Road, Ballwin, MO  63011",2016-07-14,2016-11-09,48
"Best Health Physical Therapy LLC, 772 Long Hill Road, Groton, CT 06340",2016-09-11,2016-11-09,3
"Nationstar Mortgage LLC, 8950 Cypress Waters Blvd, Coppell, TX 75019",2016-04-25,2016-11-09,4
"Emblem Health, 55 Water Street, NY, NY 10041",2016-10-03,2016-11-07,72
"Christian Louboutin LLC, 306 West 38th Street, 12th Floor, NY, NY 10018",2016-08-28,2016-11-03,17
"National Wholesale Corporation Inc., 400 National Blvd, Lexington, North Carolina 27292",2016-09-01,2016-11-03,107
"Thirty Three Threads, Inc.",2016-09-22,2016-10-31,1
"City of Middletown, 16 James Street, Middletown, NY 10940",2015-08-05,2016-10-21,6
"Natural Life Collections, Inc.",2016-09-18,2016-10-20,2
"Eastwood Company, 263 Shoemaker Road, Pottstown, PA 19464",2016-05-29,2016-10-19,132
"Vera Bradley, Inc., 12420 Stonebridge Road, Roanoke, IN 46783",2016-07-25,2016-10-12,NA
"HD Vest Investment Services, 6333 State Highway 161, Irving, TX 75038",2016-07-28,2016-10-05,211
"TD Bank N.A., 9000 Atrium Way, Mounty Laurel, NJ 08054",NA,2016-10-04,6
"VF Outlet, Inc.",2016-04-17,2016-09-27,24
"Freddie Mac, 8200 Jones Branch Drive, McLean, VA 22102",2013-04-01,2016-09-19,1
"Lulu's Fashion Lounge, Inc.",2016-08-11,2016-09-16,44
"Noble House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",2016-04-25,2016-09-02,13
"Nourse Farms, 41 River Road, South Deerfield, MA 01373",2016-02-12,2016-08-31,190
"DXE Medical, Inc., 1001 Flagpole Court, Brentwood, TN 37027",2016-03-24,2016-08-19,15
"Eddie Bauer, LLC, 10401 NE 8th Street, Suite 500, Belevue, WA 98004",2016-01-02,2016-08-18,10710
HEI Hotel & Resorts,2015-03-01,2016-08-12,NA
"PAX Labs, Inc., 660 Alabama Street, 2nd Fl, San Francisco, CA 94110",2016-06-25,2016-08-11,20
Green Valley Mountain School,2016-05-24,2016-08-08,1
"Multi-Color Corp., 4053 Clough Woods Drive, Batavia, OH 54103",2016-05-14,2016-08-05,2
"Schwan's Home Service, Inc., 115 West College Drive, Marshall, MN 56258",2015-10-09,2016-08-04,116
"Academy of Nutrition & Dietetics, 120 S. Riverside Plaza, Chicago, IL  60606",2016-04-22,2016-08-04,NA
"Travel Caddy, Inc., dba Travelon, 700 Touhy Ave, Elk Grove Fillage, IL 60007",2015-11-13,2016-08-04,5
"MedAltus, LLC",2016-05-03,2016-08-03,NA
"Banner Health, 2901 N. Central Ave., Phoenix, AZ 83012",2016-06-17,2016-08-03,353
"CiCi Enterprises, LP, 1080 West Bethel Road, Coppell, TX 75019",2015-06-30,2016-07-20,0
"NLU Products, LLC, 2801 N. Thanksgiving Way, Suite 300, Lehi, UT 84043",2015-04-01,2016-07-19,341
"San Antonio Shoemakers, 1717 SAS Drive, San Antonio, TX 78224",2016-04-21,2016-07-19,19
"Matador Recordings, LLC (d/b/a Matador Direct), 134 Grand Street, New York, NY 10013",2015-04-28,2016-07-15,30
"USA Field Hockey, 5540 North Academy Blvd, Suite 100, Colorado Springs, CO 80918",2016-03-28,2016-07-15,6
American Stationery,2016-06-01,2016-07-14,2
Cstars of Maine,2016-06-01,2016-07-14,532
Discount Online Parts,2016-06-01,2016-07-14,2
Gadget Guard,2016-06-01,2016-07-14,4
Giftcollector.com,2016-06-01,2016-07-14,1
Hersheypark (:),2016-06-01,2016-07-14,7
Lucky Pet Inc.,2016-06-01,2016-07-14,2
PNI Digitial Media,2016-06-01,2016-07-14,62
Quarterdeck Seafood Bar,2016-06-01,2016-07-14,1
WWW.sealedbysanta.com,2016-06-01,2016-07-14,2
"Project Management Institute, 14 Campus Blvd, Newton Square, PA 19073",2016-04-23,2016-07-14,18
"Career Education Corporation, 231 N Martingale Road, Schaumberg, IL 60173",2016-06-16,2016-07-11,1
"American Association for the Advancement of Science, 1200 New York Avenue NW, Washington, DC 20005",2016-04-24,2016-07-11,6
"North Carolina State University, Raleigh, NC 27695",2016-05-25,2016-07-08,19
"Water Environment Federation, 601, Wythe Street, Alexandria, VA 22314",2016-04-24,2016-07-08,2
Omni Hotels and Resorts,2015-12-23,2016-07-07,117
"Wendco of Maine,LLC (part of The Wendy's Company), One Dave Thomas Blvd., Dublin, OH 43017",2016-01-13,2016-07-05,NA
KontrolFreek LLC,2015-10-21,2016-06-30,124
"Hard Rock Hotel and Casino Las Vegas, 455 Paradise Road, Las Vegas, NV 89169",2015-10-27,2016-06-27,NA
"Grand Valley State University, One Campus Drive, Allendale, MI 49401",2016-04-25,2016-06-17,1
"Foundation of the Massachusetts Eye and Ear Infirmary, Inc., Massachusetts Eye and Ear Infirmary, 243 Charles Street, Boston, MA 02214",2016-03-21,2016-06-16,8
"Ameriprise Financial, Inc., 707 Second Avenue S, Minneapolis, MN 55474",2016-04-28,2016-06-14,3
"Tiemart, Inc., 525 Morris Avenue, Mundelein, IL 60060",2016-05-04,2016-06-13,2
"Franklin Templeton Investor Services, LLC (""FTIS""), 3344 Quality Drive, Rancho Cordova, CA 95670",2015-11-09,2016-06-10,1
"Fidelity Investments, Corporate Compliance, 200 Seaport Blvd.  Z1N, Boston, MA 02210",2016-04-20,2016-06-10,1
"Bucknell University, 701 Moore Ave., Lewisburg, PA 17837",2016-03-31,2016-06-03,15
"SD Associates P.C. (""SD""), 300 Yorktown Plaza, Elkins Park, PA 19027",2016-04-21,2016-06-02,12
"Shoes West Distribution, Inc. (dba Taos Footwear), 2660 Columbia Street, Torrance, CA 90503",2016-04-14,2016-05-27,1
"National Network of Abortion Funds (""NNAF"")",2016-04-07,2016-05-27,NA
"The Kroger Co. (""Kroger""), 1014 Vine Street, Cincinnati, OH  45202-1100",2016-01-22,2016-05-25,5
"Milwaukee Bucks, 1001 N. 4th Street, Milwaukee, WI  53203",2016-04-26,2016-05-25,1
"Stamford Podiatry Group, 1234 Summer Street, Suite 202, Stamford, CT  06905",2016-02-22,2016-05-24,17
"Maritz Holdings, Inc. (""Maritz""), P.O. Box 6336, Portland, OR  97228",2016-03-01,2016-05-23,1
"Match-Up Solutions (""Match-Up"")",2015-12-07,2016-05-26,21
"DeLong & Brower, PC, 238 Hoover Blvd #10, Holland, MI  49423",2016-04-03,2016-05-19,1
"Metropolitan Jewish Health System, Inc., 6323 7th Avenue, Brooklyn, NY  11220",2016-01-15,2016-05-19,3
"MYR Group Inc.,  1701 Golf Road, Suite 3-1012, Rolling Meadows, IL  60008",2016-04-14,2016-05-19,89
"Batdorf & Bronson Coffee Roasters, 200 Market NE, Olympia, WA  98501",2015-10-01,2016-05-17,7
"Kolodzey & Cox CPAs, PC; Gibbsboro, NJ",2016-03-21,2016-05-17,2
"Conway Group, Inc., 10 Capitol Street,Nashua, NH  03063",2016-04-29,2016-05-16,93
"Kalamazoo College, 1200 Academy Street, Kalamazoo, MI 49006",2016-04-28,2016-05-11,1
"Group Benefits Services, Inc. (""GBS"")",2016-02-05,2016-05-09,1
"CertifiKid LLC, P.O. Box 60871, Potomac, MD 20854",2016-01-25,2016-05-05,62
"Rug Doctor, LLC, 4701 Old Shepard Place, Plano, TX 75093 ",2016-03-08,2016-05-09,3
"Sanctuary Clothing LLC, 3611 N. San Fernando Blvd., Burbank, CA 91505",2015-12-30,2016-05-03,2
"Charles Schwab & Co., 211 Main Street, San Francisco, CA 94105",2016-03-25,2016-05-03,7
"Nordic Consulting Partners, Inc.; 740 Regent Street, Suite 400, Madison, WI 53715",2016-03-29,2016-05-02,2
"Union League Club of Chicago, 65 W. Jackson Blvd., Chicago, IL 60604",2015-12-10,2016-04-29,1
"PhyMed Management, LLC, 110 29th Avenue North, Suite 301, Nashville, TN 37203",2016-04-18,2016-04-29,1
"Hill & Knowlton Strategies, 825 Third Avenue, Suite 2400, New York, NY 10022",2016-02-23,2016-04-29,5
"Hi-Tec Sports USA, Inc, (and Magnum Boots), 7632 SW Durham Road, Suite 305, Tigard, OR 97224",2014-09-21,2016-04-29,119
"Rhode Island Blood Center, 405 Promenade Street, Providence, RI 02908",2016-04-08,2016-04-29,1
"Heritage Oaks Bank, 1222 Vine Street, Paso Robles, CA 93446",2016-03-08,2016-04-28,1
"Michels Corporation, P.O. Box 128, 817 West Main Street, Brownsville, WI  53006",2016-04-16,2016-04-25,26
"ProSchools, 800-299-7812",2016-02-04,2016-04-22,NA
"Vbrick Systems, Inc., 2121 Cooperative Way, Suite 100, Herndon, VA 20171",2016-03-24,2016-04-22,1
Anthelio Healthcare Solutions Inc.,2016-02-25,2016-04-20,3
