Name.of.Company,Date.of.Breach,Reported.Date,state,State.Residents.Affected
"Island Outdoor, LLC, 47 Mall Drive, Suite 4, Commack, NY 11725",2017-11-01,2018-03-15,ME,4
"Rotary International, One Rotary Center, 1560 Sherman Avenue, Evanston, IL 60201",2017-06-01,2018-03-13,ME,2
"California  State University, 5241 N. Maple Ave., Fresno, CA 93740",2017-12-01,2018-03-06,ME,3
"Interstate Plastics, Inc., 330 Commerce Circle, Sacramento, CA 95815",2017-10-27,2018-03-06,ME,6
"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",2018-02-02,2018-03-05,ME,2
Preferred Hotels & Resorts,2016-06-01,2018-03-02,ME,12
"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",2017-08-14,2018-02-27,ME,881
Boulder Running Co.,2018-01-01,2018-02-26,ME,3
"Direct Sports, Inc.",2018-01-01,2018-02-26,ME,2
Makeup Certifications,2018-01-01,2018-02-26,ME,2
Market@work 2067379149,2018-01-01,2018-02-26,ME,1
The Re-Think Group,2018-01-01,2018-02-26,ME,3
Wet N Wild Beauty,2018-01-01,2018-02-26,ME,8
"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",2017-11-08,2018-02-26,ME,1
"Active Network, 717 North Harwood Street, Suite 2500, Dallas, TX 75201",2016-12-13,2018-02-23,ME,1
"LendKey Technologies, Inc., 104 W 27th Street, Floor 4, NY, NY 10001",2016-06-27,2018-02-15,ME,32
"Norwich Commercial Group, Inc., d/b/a Norcom Mortgage (""Norcom""), 38 Security Drive, Avon, CT 06001",2017-10-12,2018-02-14,ME,13
"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",2017-11-21,2018-02-13,ME,1
OneMain Financial,2017-09-01,2018-02-09,ME,2
"Investment Professionals, Inc., 16414 San Pedro Ave., Suite 300, San Antonio TX 78232",2016-11-01,2018-02-07,ME,1
"1st Mariner Bank, 3301 Boston Street, Baltimore, MD 21224",2017-09-21,2018-02-05,ME,8
"Advanced Graphic Products, Inc. d/b/a Advanced-Online, 750 Gateway Blvd, Coppell, TX 75019",2017-04-29,2018-02-02,ME,58
"The Valerie Fund, 2101 Millburn Avenue, Maplewood, NJ 07040",2017-03-02,2018-02-02,ME,1
"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",2017-10-14,2018-02-01,ME,3
"Pentair Aquatic Eco Systems, Inc., 2395 Apopka Blvd, Apopka, FL 32703",2017-12-19,2018-01-26,ME,3
Rosewood Hotel Group,2016-05-29,2018-01-19,ME,8
"Mindlance, Inc., 1095 Morris Ave., Suite 101A, Union, NJ 07083",2017-12-28,2018-01-19,ME,3
"Employer Leasing Company, 12375 Kerran Street, Poway, CA 92064",2017-09-14,2018-01-18,ME,1
"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",2017-06-09,2018-01-12,ME,557
"Broward College, 111 East Las Olas Boulevard, Fort Lauderdale, FL 33301",2017-07-18,2018-01-10,ME,15
"Northeast Arc, 1 Southside Road, Danvers, MA 01923",2017-03-01,2018-01-05,ME,3
"Dun & Bradstreet, Inc., 103 JFK Parkway, Short Hills, NJ 07078",2017-04-01,2017-12-19,ME,1
"Connecticut Players Foundation, Inc., d/b/a Long Wharf Theatre, 222 Sargent Drive, New Haven, CT 06511",2017-01-31,2017-12-18,ME,1
HK Parts,2017-11-01,2017-12-15,ME,6
The Eastwood Company,2017-11-01,2017-12-15,ME,56
"New Penn Financial LLC, 4000 Chemical Road, Suite 200, Plymouth Meeting, PA 19462",2017-09-05,2017-12-15,ME,1
"WEI Mortgage, LLC, 4000 Midlantic Drive, Suite 102, Mount Laurel, NJ 08054",2017-09-13,2017-12-08,ME,34
MFTstamps.com; ,2017-06-22,2017-12-07,ME,14
"Hayden, Narey & Persich, 2340 S El Camino Real, #15, San Clemente, CA 92672",2017-07-03,2017-12-04,ME,1
"JAM Paper & Envelope, 185 Legrand Avenue, Northvale, NJ 07647",2016-06-15,2017-12-01,ME,132
"IH Mississippi Valley Credit Union (""IHMVCU"") 2121 47th St., Moline, IL 61265",2017-08-30,2017-12-01,ME,2
"Grass Advantage, LLC (d/b/a Amazing Grass), 230 Newport Center Drive, Ste 300, Newport Beach, CA 92260",2017-09-11,2017-11-30,ME,6
"Nutrex Hawaii, Inc.",2017-07-26,2017-11-29,ME,1
"Randolph Savings Bank, 10 Cabot PL, Stoughton, MA 02072",2017-10-01,2017-11-21,ME,3
"Uber Technologies, Inc., 1455 Market Street, San Francisco, CA 94103",2016-10-13,2017-11-21,ME,381
"JRK Hotel Group, 1176 Wilshire Boulevard, Ste. 1500, Los Angeles, CA 90025",2016-08-10,2017-11-20,ME,4
"GCI Communications Corp., 2550 Denali Street, Suite 1000, Anchorage, AK 99503-2751",2015-07-01,2017-11-13,ME,1
"Gallagher NAC, 16476 Wild Horse Creek Road, Chesterfield, MO 63017",2017-06-18,2017-11-13,ME,47
"Memory4Less, 1504 W. Commonwealth Ave., Fullerton, CA 92833",2016-11-01,2017-11-06,ME,4
"Rain Bird Corporation, 970 West Sierra Madre Ave., Azusa, CA 91702",2017-08-25,2017-11-01,ME,5
"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank, 10900 Nuckols Road, Suite 325, Glen Allen, VA 23060",2017-06-24,2017-10-31,ME,8
"Interstate Plastics, Inc., 3299 Ramos Circle, Sacramento, CA 95827",2017-05-29,2017-10-25,ME,16
"LightHouse Management Services, LLC d/b/a Home Properties, 300 Clinton Square, Rochester, NY 14606",2017-07-19,2017-10-20,ME,1
Atlantis Paradise Island,2017-09-01,2017-10-19,ME,2
Innoas Inc.,2017-09-01,2017-10-19,ME,1
Villa JTM 10 Internet Sales,2017-09-01,2017-10-19,ME,1
Walk in the Word-E Com,2017-09-01,2017-10-19,ME,6
Way.com,2017-09-01,2017-10-19,ME,43
"BMT Designers & Planners, Inc; 4401 Ford Avenue, Suite 1000, Alexandria, VA 22302",2016-02-01,2017-10-16,ME,8
"Pizza Hut, LLC, 7100 Corporate Drive, Plano, TX 75024",2017-10-01,2017-10-16,ME,38
Spark Pay Online (firner subsidiary of Capital One),2017-03-10,2017-10-16,ME,147
"West Music Company, Inc., 1212 5th Street, Coralville, IA 52241",2017-07-21,2017-10-13,ME,2
"PressureParts, Inc., 7820 L. Street, Omaha, NE 68127",2017-09-13,2017-10-13,ME,1
"Hyatt Hotels Corp, 71 South Wacker Drive, 12th Floor, Chicago, IL 60606",2017-03-18,2017-10-12,ME,19
"Universal Nutrition, 3 Terminal Road, New Brunswick, NJ, 08901",2017-05-01,2017-10-11,ME,3
"Atlantic Cigar Company, LLC, 3 Horne Drive, Suite 102, Folcroft, PA 19032",2017-07-21,2017-10-10,ME,8
"Phillips & Temro Industries, Inc., 9700 West 74th Street, Eden Prairie, MN 55344",2017-03-01,2017-10-09,ME,1
ABC Carpet & Home,2017-01-02,2017-10-09,ME,9
"Kayser-Roth Corporation, 102 Corporate Center Blvd, Greensboro, NC 27408",2017-07-01,2017-10-09,ME,31
Catholic United Financial,2016-11-12,2017-10-06,ME,30
"Tommie Copper, Inc., 74 South Moger Avenue, Mount Kisco, NY 10549",2017-04-25,2017-10-06,ME,167
Navy Federal Credit Union,2014-12-01,2017-10-06,ME,3
"Cabrillo Community College District, 6500 Soquel Drive, Aptos, CA 95003",2017-09-04,2017-10-05,ME,1
"Neue Galerie, 1048 5th Avenue, New York, NY 10028",2013-12-05,2017-10-05,ME,1
"Alpha Industries, Inc, 14200 Park Meadow Drive, Ste 110S, Chantilly, VA 20151",2017-07-06,2017-10-02,ME,1
"The Online Traffic School, 225 East Robinson Street, Suite 570, Orlando, FL 32801",2014-06-20,2017-09-29,ME,53
"Briggs & Stratton Corp, 12301 West Wirth Street, Wauwatosa, WI 53222",2017-07-25,2017-09-29,ME,1
"Lendio, Inc., 10235 South Jordan Parkway, Suite 410, South Jordan, Utah 84095",2017-05-01,2017-09-26,ME,1
 ,2017-07-04,2017-09-22,ME,2
"Plow & Hearth, LLC, 7021 Wolftown-Hood Road, Madison, VA 22727: 540-948-2272",2017-07-22,2017-09-22,ME,90
"Sprint Corporation, 12512 Sunrise Valley Dr. Reston, VA 20191",2017-05-07,2017-09-20,ME,2
"The International Council of Shopping Centers, 1221 Avenue of the Americas, 41st floor, New York, NY 10020",2017-03-24,2017-09-15,ME,15
"AT&T Services, Inc., 208 S. Akard Street, Dallas, TX 75202",2017-02-01,2017-09-14,ME,11
Frontier Natural Products Co-Op breach notice,2017-05-12,2017-09-11,ME,10
"SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94025",2017-07-26,2017-09-08,ME,81
"Equifax, Inc., 1550 Peachtree Street, N.E., Atlanta,GA 30309",2017-05-13,2017-09-07,ME,1060953
"Major League Lacrosse, 20 Guest Street, Suite 125, Boston, MA 02135",2017-08-23,2017-09-07,ME,12
"The reThink Group, Inc., 5870 Charlotte Lane, Suite 300, Cumming, GA 30040",2017-07-11,2017-09-06,ME,5
"Sixty Hotels,206 Spring Street, 4th Floor, New York, NY 02108",2016-08-10,2017-09-05,ME,9
"Aptos, Inc. (Re: Mrs. Prindables), 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326",2017-07-05,2017-09-01,ME,2
"WRJ Holdings LLC, d/b/a Classic Firearms, 3305 Westwood Industrial Drive, Monroe, NC 28110",2017-04-24,2017-09-01,ME,55
"Med-Cert, Inc., 3853 Northdale Blvd, #344, Tampa, Florida 33624",2017-06-01,2017-09-01,ME,210
Evans Hotels,2016-08-10,2017-09-01,ME,5
"Akira, 200 N. Fairfield Ave., Chicago, IL 60612",2016-11-01,2017-09-01,ME,11
Orchards Inn,2016-08-10,2017-08-31,ME,2
"The Domain Hotel, Sunnyvale, California",2016-08-10,2017-08-28,ME,1
"The Bicycle Hotel & Casino, Bell Gardens, California",2016-08-10,2017-08-28,ME,1
"The Gallivant Times Square, NY, NY",2016-08-10,2017-08-28,ME,1
The Nathan Hale Inn & Conference Center,2016-08-10,2017-08-28,ME,6
"The Roosevelt Hotel, NY, NY",2016-08-10,2017-08-28,ME,23
CoreLogic Credco ,2017-07-21,2017-08-29,ME,78
Fidelity,2017-07-11,2017-08-25,ME,1
"GT Distributors, Inc., 2545 Brockton Dr., #100, Austin, TX 78758",2017-05-16,2017-08-25,ME,2
"Crescent Mortgage Company, Atlanta, Georgia",2017-07-11,2017-08-24,ME,1
"Aimbridge Hospitality Holdings, LLC, 5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",2017-08-10,2017-08-24,ME,22
"Dutch, LLC, 5301 South Santa Fe, Vernon, CA 90058",2016-06-09,2017-08-17,ME,22
1 Hotel,2016-08-10,2017-08-17,ME,1
Native Canada Footwear Ltd,2015-04-28,2017-08-16,ME,50
"Denihan Hospitality (""Denihan""), ",2016-08-10,2017-08-16,ME,78
Pacifica Hotel Management LLC,2016-08-10,2017-08-11,ME,8
"Marine Corps Association &Foundation (""MCA"") ",2017-04-16,2017-08-11,ME,20
"Performant Financial Corporation , 333 North Canyons Parkway Livermore, CA 94551",2017-01-17,2017-08-11,ME,1
"Shoe Station, Inc., 720 Executive Park Drive, Mobile, AL 36606",2017-04-27,2017-08-08,ME,7
"Saddle Ridge Partners, LLC, dba Wizard Labs, 927 Fern Street Suite 1000, Altamonte Springs, FL 32701",2017-05-25,2017-08-07,ME,17
"State Industrial Products, 5915 Landerbnrook Drive, Suite 300, Mayfield, OH 44124",2017-02-16,2017-08-04,ME,1
"Botwinick & Co., LLC",2017-03-01,2017-08-04,ME,2
Juliska,2016-10-27,2017-08-03,ME,18
"US Residential Group, LLC, 5001 Spring Valley Road, Suite 1000E, Dallas, TX 75244",2017-03-26,2017-08-02,ME,1
"Bryan Cave LLP, 1155 F Street, N.W. Washington, DC 20004",2016-08-10,2017-07-31,ME,33
"21c Museum Hotels LLC, 710 West Main Street, Third Floor, Louisville, Kentucky 40202",2016-08-10,2017-07-28,ME,4
"Westgate Resorts Ltd, 5601 Windhover Drive, Orlando, FL 32819",2016-08-10,2017-07-28,ME,28
"Noble House Hotels and Resorts, 600 6th Street, South, Kirkland, WA 98033",2016-08-10,2017-07-28,ME,12
"Steel Technology LLC, d/b/a Hydro Flask, 525 NW York Drive, Bend, OR 97703",2017-02-10,2017-07-28,ME,132
"Directron, 10402 Harwin Drive, Houston, TX 77036",2017-02-20,2017-07-28,ME,3
"Cole Sport, 1615 Park Ave, P.O. Box 3509, Park City, Utah 84060",2017-03-27,2017-07-27,ME,1
"A1 J. Schneider Company, 140 N. 4th Street, Louisville, KY 40202",2016-12-21,2017-07-26,ME,4
Woodside Hotels and Resorts,2016-08-10,2017-07-25,ME,8
"Hartz Hotel Services, Inc., 400 Plaza Drive, Secaucus, NJ 07094",2016-08-10,2017-07-24,ME,4
"Standard International Management, LLC, 23 East 4th Street, NY, NY 10003",2016-08-10,2017-07-21,ME,8
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-04-18,2017-07-21,ME,22
"Sabre GLBL, Inc., 3150 Sabre Drive, Southlake, TX 76092",2016-08-10,2017-07-19,ME,1
"Remington, Lodging & Hospitality, LLC & Associates",2016-08-10,2017-07-18,ME,21
"Whitinger & Company LLC, 1100 W. White River Blvd, Muncie, IN 47303",2017-01-29,2017-07-18,ME,3
"SportsMem, Inc., 251 International Parkway, Sunrise, Florida 33325",2016-10-12,2017-07-18,ME,116
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-08-19,2017-07-17,ME,1
"Brigham Young University, Office of the General Counsel, A-357 ASB, Provo, Utah 84602",2017-06-01,2017-07-12,ME,1
"Club Quarters Hotels, One Atlantic Street, 5th Floor, Stamford, CT 06901",2016-08-10,2017-07-12,ME,42
"CBRE, 400 South Hope Street, 25th Floor, Los Angeles, CA 90071",2016-08-10,2017-07-10,ME,1
"Peachtree Neurological Clinic PC 95 Collier Road NW, Suite 4045, Atlanta, GA 30309",2016-02-18,2017-07-10,ME,28
"Golf & Ski Warehouse, Inc., 290 Plainfield Road, West Lebanon, NH 03784",2016-03-08,2017-07-07,ME,348
Four Seasons Hotels Limited (incident actually occurred at Sabre Hospitality Solutions),2016-08-10,2017-07-06,ME,13
"Preferred Hotel Group, Inc., 311 South Wacker Drive, Chicago, IL 60606",2016-08-10,2017-07-03,ME,446
Southern Illinois Hospital Services,2017-02-13,2017-06-23,ME,1
"TD Bank, N.A., 1 Portland Square, Portland, Maine 04101",2017-04-28,2017-06-21,ME,101
"Dallas County Community College District, 1601 S Lamar Street, Dallas, TX 75215",2017-02-21,2017-06-16,ME,1
Southern Tide,2017-04-27,2017-06-15,ME,10
"Yeo & Yeo, 3023 Davenport Ave., Saginaw, MI 48602",2017-03-09,2017-06-09,ME,2
"Leader Bank, N.A., 180 Massachusetts Avenue, Arlington, MA 02474",2016-12-30,2017-06-07,ME,1
"Jewelry.com (division of Richline Group, Inc.) 6701 Nob Hill Road, Tamarac, Florida 33321",2016-11-16,2017-06-07,ME,23
"Townsends, P.O. Box 415, 133 North First Street, Pierceton, IN 46562",2017-01-09,2017-06-05,ME,12
"GameStop, Inc., 625 Westport Parkway, Grapevine, TX 76051",2016-08-10,2017-06-05,ME,4956
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-04-19,2017-06-02,ME,1
"Township of Springfield, 100 Mountain Avenue, Springfield, NJ 07081",2017-02-22,2017-06-02,ME,6
"Crimson Trace Corporation, 9780 SW Freeman Drive, Wilsonville, Oregon 97070",2016-06-01,2017-06-01,ME,34
"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",2016-01-14,2017-05-26,ME,14
"Char-Broil, LLC, 1442 Belfast Ave., Columbus, GA 31904",2017-03-22,2017-05-24,ME,95
"Incipio, LLC, 6001 Oak Canyon, Irvine, CA 92618",2016-02-01,2017-05-23,ME,239
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc., 1550 Peachtree Street, NW, Atlanta, GA 30309",2016-01-04,2017-05-23,ME,23
"AT&T Services, Inc., 208 S. Akard Street, Dallas, TX 75202",2017-01-25,2017-05-19,ME,45
"Rite Aid Online Store, Inc., 30 Hunter Lane, Camp Hill, PA 17011",2017-01-30,2017-05-17,ME,194
"RM Acquisition, LLC d/b/a Rand McNally, 9855 Woods Drive, Skokie, IL 60077 (Email)",2016-04-12,2017-05-05,ME,108
"Genpact International, Inc., 1155 Avenue of the Americas, 4th floor, New York, NY 10036 (email)",2017-01-12,2017-05-04,ME,27
"Agri Beef Co., 1555 Shoreline Drive, Suite 320, Boise, ID 83702 (Email)",2016-11-22,2017-05-04,ME,13
"McDavid, Inc., 11488 Slater Ave, Fountain Valley, CA 92708 (paper)",2016-09-15,2017-05-01,ME,6
"Nathan Sports, 11488 Slater Avenue, Fountain Valley, CA 92708 (paper)",2016-09-15,2017-05-01,ME,2
Jackson Hewitt Tax Service Inc. (paper),2016-05-01,2017-04-28,ME,2
"Gannett Company, Inc., 7950 Jones Branch Dr., McLean, VA 22107 (email)",2017-03-28,2017-04-28,ME,6
"Greenwood School District 50, 1855 Calhoun Road, P.O. Box 248, Greenwood, SC 29648 (email)",2017-01-19,2017-04-27,ME,1
"One World Distribution, Inc., d/b/a One World Direct, 10 First Avenue East, Mobridge, SD 57601 (email)",2016-08-27,2017-04-07,ME,31
"GlassWasherParts.com, 2950 NW 22nd Terrace, Pompano Beach, FL 33069 thru Aptos (paper)",2016-02-01,2017-04-04,ME,2
"Commonwealth Health Corp, 800 Park Street, Bowling Green, KY 42101 (email)",2014-08-01,2017-04-03,ME,10
"William E. Howe & Co. CPAs, 105 Chesley Drive, Yorktown Building, 1st Floor, Media, PA 19063 (email)",2017-02-01,2017-03-31,ME,1
"Language Services Associates, Inc., 455 Business Center Drive, Horsham, PA 19044 (email)",2017-02-04,2017-02-10,ME,1
"Virginia Gift Brands - parent company to Woodwick, 1000 Dillard ave., Forest, VA 24551 (email)",2016-08-18,2017-03-27,ME,14
"Bulletproof 360, Inc., 1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",2016-10-26,2017-03-21,ME,237
"Rand McNally, 9855 Woods Drive, Stokie, IL 60077 (email)",2016-09-01,2017-03-20,ME,5
"Bacon & Co. CPA's LLC, 875 Centerville Road, Bldg 3-10, Warwick, RI 02886 (email)",2016-11-30,2017-03-16,ME,4
"Zest Dental Solutions, 2875 Loker Avenue East, Carlsbad, CA 92010 (email)",2013-12-31,2017-03-14,ME,13
"Viacom Inc., 1515 Broadway, New York, NY 10036 (paper)",2017-02-03,2017-03-08,ME,1
"prAna, 3209 Lionshead Ave., Carlsbad, CA 92010 (email)",2016-12-14,2017-03-08,ME,3830
"Friedman & Perry, CPAs, 39560 Stevenson Place, Suite 112, Fremont, CA 94539 (email)",2016-06-15,2017-03-07,ME,1
"West Music Company, Inc., 1212 5th Street, Coralville, IA 52241",2016-02-01,2017-03-03,ME,227
"Aptos, Inc., 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326 (3rd party provider of digital commerce platform services for Mrs Prindables)",2016-02-01,2017-02-24,ME,14604
"Aptos, Inc., 945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326 (3rd party provider of digital commerce platform services for Affy Tapple)",2016-02-01,2017-02-24,ME,3
"Roberts Hawaii, Inc., 680 Iwilei Road #700, Honolulu, HI 96817",2015-07-30,2017-02-24,ME,35
"Rod's Western Palace (""Rod's""),",2016-10-11,2017-02-24,ME,85
"JoFit, 995 Mearns Road, Warminster, PA 18974",2017-01-15,2017-02-23,ME,7
"Arabella Advisors LLC, 1201 Connecticut Ave., NW, Ste 300, Washington, DC 20036",2016-01-05,2017-02-22,ME,2
American Quilters Society,2017-01-01,2017-02-20,ME,2
"Dumac Business Systems, Inc.",2017-01-01,2017-02-20,ME,259
Eddie Bauer ,2017-01-01,2017-02-20,ME,374
Ground Round - Bangor,2017-01-01,2017-02-20,ME,6
"Honig's Whistle Stop, Inc.",2017-01-01,2017-02-20,ME,6
Kimpton Hotels  ,2017-01-01,2017-02-20,ME,5
Omni Hotels  ,2017-01-01,2017-02-20,ME,10
Pictureframes.com,2017-01-01,2017-02-20,ME,10
Springfield Armory ,2017-01-01,2017-02-20,ME,5
Starwood Hotels,2017-01-01,2017-02-20,ME,52
Wise Company Inc.,2017-01-01,2017-02-20,ME,9
"Intex Recreation Corp, 4001 Via Oro Ave., Ste 210, Long Beach, CA 90810",2016-04-24,2017-02-16,ME,380
"Family Service Rochester, 4600 18th Ave, NW, Rochester, MN 55901",2016-12-26,2017-02-17,ME,1
"The Boeing Company, 100 North Riverside, Chicago, IL 60606",2016-11-21,2017-02-09,ME,12
College of Southern Idaho,2017-02-02,2017-02-08,ME,1
"Land Title Guarantee Co., 5975 Greenwood Plaza Blvd, Ste 220, Greenwood Village, CO 80111",2016-03-01,2017-02-07,ME,1
"MDF Instruments, 31416 Agoura Road, Suite 180, Westlake Village, CA 91361",2016-07-02,2017-02-03,ME,30
"King, McNamara, Moriarty, LLP, 473 Washington Street, Norwood, MA 02062",2016-01-18,2017-02-02,ME,29
International Code Council,2016-04-25,2017-01-27,ME,30
"Charles Komar & Sons, Inc., 135 Madison Avenue, NY, NY 10013",2015-03-01,2017-01-26,ME,134
"Summit Reinsurance Services, Inc., 7030 Pointe Inverness Way, Ste 350, Fort Wayne, IN 46804",2016-03-13,2017-01-20,ME,17
"Spiraledge, Inc., 1919 Bascom Ave., Ste 300, Campbell, CA 95008",2016-05-02,2017-01-12,ME,2272
"R & A Design d/b/a Unison Home, 1911 W. Division Street, Chicago, IL 60622",2016-05-16,2017-01-04,ME,4
"Community Health Plan of Washington, 720 Olive Way, Suite 300, Seattle, WA 98101",2016-01-16,2016-12-29,ME,2
"Graphik Dimensions, Ltd, 2103 Brentwood Street, High Point, NC 27263",2016-07-12,2016-12-28,ME,138
"The Topps Company Inc., One Whitehall Street, New York, NY 10004",2016-07-30,2016-12-27,ME,52
"Dover Federal Credit Union, 1075 Silver Lake Blvd, Dover, DE 19904",2016-09-20,2016-12-22,ME,114
University of South Carolina Upstate,2016-03-23,2016-12-19,ME,2
"BraceAbility Inc., Cedar Rapids, IA",2016-09-24,2016-12-13,ME,20
"The Federal Savings Bank, 300 North Elizabeth Street, Ste 3E, Chicago, IL 60657",2016-09-21,2016-12-16,ME,2
"Julep Beauty Inc., 111 Queen Anne Ave., North Suite 200, Seattle, WA 98122",2016-11-06,2016-12-09,ME,1
Acer.com 2542984530,2016-10-01,2016-11-29,ME,5
Dailysale.com,2016-10-01,2016-11-29,ME,34
"SwervePoint LLC, 75 Sylvan Street, Danvers, MA 01923",2016-02-10,2016-11-29,ME,12
"Caesars Entertainment, One Caesars Palace Drive, Las Vegas, NV 89109",2015-07-29,2016-11-28,ME,1
"Educents Inc, 369 Sutter Street, San Francisco, CA 94108",2016-09-26,2016-11-22,ME,2
"Times Three Clothier, d/b/a Yummie by Heather Thomson, 530 Seventh Avenue, Suite 1505, NY, NY 10018",2016-10-04,2016-11-16,ME,4
"Eileen Fisher, Inc., 2 Bridge Street, Suite 230, Irvington, NY 10533",2016-09-07,2016-11-09,ME,113
"Politi & Magnifico LLC, 5 Edgewood Avenue, Greenwich, CT 06830",2016-06-16,2016-11-09,ME,1
"UFCW Local 655 Food Employers Joint Pension Plan, 300 Weidman Road, Ballwin, MO  63011",2016-07-14,2016-11-09,ME,48
"Best Health Physical Therapy LLC, 772 Long Hill Road, Groton, CT 06340",2016-09-11,2016-11-09,ME,3
"Nationstar Mortgage LLC, 8950 Cypress Waters Blvd, Coppell, TX 75019",2016-04-25,2016-11-09,ME,4
"Emblem Health, 55 Water Street, NY, NY 10041",2016-10-03,2016-11-07,ME,72
"Christian Louboutin LLC, 306 West 38th Street, 12th Floor, NY, NY 10018",2016-08-28,2016-11-03,ME,17
"National Wholesale Corporation Inc., 400 National Blvd, Lexington, North Carolina 27292",2016-09-01,2016-11-03,ME,107
"Thirty Three Threads, Inc.",2016-09-22,2016-10-31,ME,1
"City of Middletown, 16 James Street, Middletown, NY 10940",2015-08-05,2016-10-21,ME,6
"Natural Life Collections, Inc.",2016-09-18,2016-10-20,ME,2
"Eastwood Company, 263 Shoemaker Road, Pottstown, PA 19464",2016-05-29,2016-10-19,ME,132
"HD Vest Investment Services, 6333 State Highway 161, Irving, TX 75038",2016-07-28,2016-10-05,ME,211
"VF Outlet, Inc.",2016-04-17,2016-09-27,ME,24
"Freddie Mac, 8200 Jones Branch Drive, McLean, VA 22102",2013-04-01,2016-09-19,ME,1
"Lulu's Fashion Lounge, Inc.",2016-08-11,2016-09-16,ME,44
"Noble House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",2016-04-25,2016-09-02,ME,13
"Nourse Farms, 41 River Road, South Deerfield, MA 01373",2016-02-12,2016-08-31,ME,190
"DXE Medical, Inc., 1001 Flagpole Court, Brentwood, TN 37027",2016-03-24,2016-08-19,ME,15
"Eddie Bauer, LLC, 10401 NE 8th Street, Suite 500, Belevue, WA 98004",2016-01-02,2016-08-18,ME,10710
"PAX Labs, Inc., 660 Alabama Street, 2nd Fl, San Francisco, CA 94110",2016-06-25,2016-08-11,ME,20
Green Valley Mountain School,2016-05-24,2016-08-08,ME,1
"Multi-Color Corp., 4053 Clough Woods Drive, Batavia, OH 54103",2016-05-14,2016-08-05,ME,2
"Schwan's Home Service, Inc., 115 West College Drive, Marshall, MN 56258",2015-10-09,2016-08-04,ME,116
"Travel Caddy, Inc., dba Travelon, 700 Touhy Ave, Elk Grove Fillage, IL 60007",2015-11-13,2016-08-04,ME,5
"Banner Health, 2901 N. Central Ave., Phoenix, AZ 83012",2016-06-17,2016-08-03,ME,353
"CiCi Enterprises, LP, 1080 West Bethel Road, Coppell, TX 75019",2015-06-30,2016-07-20,ME,0
"NLU Products, LLC, 2801 N. Thanksgiving Way, Suite 300, Lehi, UT 84043",2015-04-01,2016-07-19,ME,341
"San Antonio Shoemakers, 1717 SAS Drive, San Antonio, TX 78224",2016-04-21,2016-07-19,ME,19
"Matador Recordings, LLC (d/b/a Matador Direct), 134 Grand Street, New York, NY 10013",2015-04-28,2016-07-15,ME,30
"USA Field Hockey, 5540 North Academy Blvd, Suite 100, Colorado Springs, CO 80918",2016-03-28,2016-07-15,ME,6
American Stationery,2016-06-01,2016-07-14,ME,2
Cstars of Maine,2016-06-01,2016-07-14,ME,532
Discount Online Parts,2016-06-01,2016-07-14,ME,2
Gadget Guard,2016-06-01,2016-07-14,ME,4
Giftcollector.com,2016-06-01,2016-07-14,ME,1
Hersheypark (:),2016-06-01,2016-07-14,ME,7
Lucky Pet Inc.,2016-06-01,2016-07-14,ME,2
PNI Digitial Media,2016-06-01,2016-07-14,ME,62
Quarterdeck Seafood Bar,2016-06-01,2016-07-14,ME,1
WWW.sealedbysanta.com,2016-06-01,2016-07-14,ME,2
"Project Management Institute, 14 Campus Blvd, Newton Square, PA 19073",2016-04-23,2016-07-14,ME,18
"Career Education Corporation, 231 N Martingale Road, Schaumberg, IL 60173",2016-06-16,2016-07-11,ME,1
"American Association for the Advancement of Science, 1200 New York Avenue NW, Washington, DC 20005",2016-04-24,2016-07-11,ME,6
"North Carolina State University, Raleigh, NC 27695",2016-05-25,2016-07-08,ME,19
"Water Environment Federation, 601, Wythe Street, Alexandria, VA 22314",2016-04-24,2016-07-08,ME,2
Omni Hotels and Resorts,2015-12-23,2016-07-07,ME,117
KontrolFreek LLC,2015-10-21,2016-06-30,ME,124
"Grand Valley State University, One Campus Drive, Allendale, MI 49401",2016-04-25,2016-06-17,ME,1
